feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,0.7,0,2.5,1.7,2.6,0.7,0.137374858296297,-1.4
Wählende,x,2.4,3.7,-3.4,3.1,-7.6,4.2,6.25821941773343,-10.9
Briefwählende,x,168.6,54.6,26.6,0.2,12.5,11.2,28.2,31.9
Wahllokalwählende,x,-4.6,-2.2,-8.9,3.8,-12.6,2,-1.4,-30.3
