age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,10.5,13.3,7.7,3.9,5.4,3.2,6.6,7.9,4.5
25 bis unter 35,8.2,9.6,6.9,3.3,4.2,2.9,4.9,5.4,4.0
35 bis unter 45,8.9,10.0,7.8,3.9,5.2,3.7,5.0,4.8,4.1
45 bis unter 60,10.4,10.9,9.9,4.7,5.5,4.5,5.7,5.4,5.4
60 bis unter 70,11.1,11.2,10.9,4.5,5.1,4.6,6.6,6.1,6.3
70 und älter,14.3,14.7,13.9,5.6,6.4,2.8,8.7,8.3,11.1
Insgesamt,10.8,11.5,10.1,4.5,5.3,3.7,6.3,6.2,6.4
