age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,6.4,6.6,6.2,1.2,1.7,0.8,5.2,4.9,5.4
25 bis unter 35,4.2,4.5,4,1.2,1.4,1.1,3,3.1,2.9
35 bis unter 45,4.5,5.1,3.9,1.4,1.3,1.5,3.1,3.8,2.4
45 bis unter 60,4.1,4.1,4,0.8,0.9,0.8,3.3,3.2,3.2
60 bis unter 70,3.3,3.1,3.4,0.6,0.6,0.5,2.7,2.5,2.9
70 und älter,2.9,2.8,2.9,0.5,0.3,0.6,2.4,2.5,2.3
Insgesamt,3.9,4.1,3.8,0.9,1,0.9,3,3.1,2.9
