age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,14.6,16,29.9,16.2,7.3,6.4,9.6
25 bis unter 35,100,16.9,14.8,26.6,16.5,10.9,4.2,10.1
35 bis unter 45,100,17.3,14.5,26.7,15.9,13.8,4.5,7.3
45 bis unter 60,100,19.2,13.2,29.9,9.9,19,4.1,4.7
60 bis unter 70,100,20.7,13,40.9,3.6,15.8,3.3,2.7
70 und älter,100,23.1,19.2,42,2.2,9.6,2.9,1.1
Insgesamt,100,19.1,14.9,32.4,10.2,13.9,3.9,5.5
