feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,-1.2,-2.5,0,-0.2,1.3,1.4,-0.105678292609142,-1.7
Wählende,x,-3.6,0.5,-4.3,-0.5,-7.1,3.6,4.22597587879356,-9.6
Briefwählende,x,51.4,33.8,16.2,-7.1,11.6,9.7,24.0911296135889,27.3
Wahllokalwählende,x,-9.2,-5.2,-9.2,1.6,-12.4,1.3,-3.51636002308821,-28.2
