age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6.6,4.5,6.2,10.1,9,3.5,6.1,12.9
25 bis unter 35,15.4,10.1,14,26.2,21.8,10.2,11.3,28.4
35 bis unter 45,13.8,11.2,13,16.1,18.9,11.8,11.6,22
45 bis unter 60,28,24.8,26.6,26.2,33,38.2,27.3,25.3
60 bis unter 70,14.7,14.9,16.4,13.8,11.5,17.7,16.1,7.3
70 und älter,21.5,34.4,23.9,7.6,5.8,18.6,27.5,4.1
Insgesamt,100,100,100,100,100,100,100,100
