age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.9,4.3,6,6.4,8.6,3.1,6.7,10.9
25 bis unter 35,16.5,12,15.2,18.5,24.3,12.2,13.6,30.7
35 bis unter 45,15.4,12.7,14.2,15,21.8,14.6,14,22.7
45 bis unter 60,28,25.8,26,25.9,30.9,38.2,27.7,24.8
60 bis unter 70,14.2,14.9,15,16,9.2,16.5,14.7,7
70 und älter,20,30.3,23.7,18.2,5.2,15.4,23.3,3.8
Insgesamt,100,100,100,100,100,100,100,100
