age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,1.5,1.9,1.1,1.7,1.9,1.6,1.4,1.9,0.9
25 bis unter 35,1.1,1.2,1.1,1,1.1,1,1.3,1.4,1.2
35 bis unter 45,1,1.2,0.8,0.8,0.8,0.8,1.1,1.4,0.9
45 bis unter 60,1.3,1.2,1.4,1,0.8,1.3,1.5,1.5,1.6
60 bis unter 70 ,1.7,1.8,1.7,1.6,1.6,1.6,1.8,2,1.7
70 und älter ,1.8,1.6,1.9,1.8,1.4,2.1,1.8,1.8,1.8
Insgesamt,1.4,1.4,1.4,1.2,1.1,1.4,1.5,1.6,1.5
