age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,4.9,3.7,5,4.5,5.3,3.2,6.2,11.7
25 bis unter 35,17.6,15.4,17,15.9,24.2,13,20.8,31.3
35 bis unter 45,18.6,18.4,17.5,15,27.5,17,21.6,24.7
45 bis unter 60,29.3,29.4,24.1,25.4,33,39.1,30.5,21.9
60 bis unter 70,13.3,14.2,12.3,16.7,6,15.6,11.1,6.7
70 und älter,16.2,18.9,24.2,22.6,3.9,12.1,9.8,3.7
Insgesamt,100,100,100,100,100,100,100,100
