age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5.8,4,5.5,6.5,9,3.2,5.7,10.5
25 bis unter 35,16.5,11.5,15.1,18.3,24.7,12.8,12.3,31.2
35 bis unter 45,14.7,11.9,13.7,14,21.9,14.2,13.3,19.5
45 bis unter 60,26.6,24.4,24.5,25.5,29.3,35.9,27.5,26.9
60 bis unter 70,14.5,15.2,15.4,16.4,9.5,17.1,15.2,7.3
70 und älter,22,33,25.8,19.4,5.6,16.9,26,4.6
Insgesamt,100,100,100,100,100,100,100,100
