age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,7,8.9,5.3,2.8,3.8,1.9,4.2,5.1,3.4
25 bis unter 35,7,8.4,5.9,2.7,3.3,2.2,4.3,5.1,3.7
35 bis unter 45,7.4,8.2,6.6,2.9,3.7,2.1,4.5,4.5,4.5
45 bis unter 60,6.6,7.4,5.9,2.4,2.7,2.2,4.2,4.7,3.7
60 bis unter 70,5.9,5.9,5.9,1.4,1.8,1.1,4.5,4.1,4.8
70 und älter,4.4,4.3,4.5,1.0,0.9,1.1,3.4,3.4,3.4
Insgesamt,6.4,7.1,5.7,2.2,2.7,1.8,4.2,4.4,3.9
