age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,18.5,25.8,16.9,16.1,6.2,7.8,8.7
25 bis unter 35,100,18.5,23,19.1,17,7.9,5.7,8.8
35 bis unter 45,100,22.5,23.9,13.9,16,10.5,5.3,7.8
45 bis unter 60,100,24.4,24.1,10.9,14.3,16.4,6.3,3.7
60 bis unter 70,100,26.3,28.1,11.4,9.3,15,7.5,2.4
70 und älter,100,42.4,28.5,4.9,3.4,11.3,8.6,0.9
Insgesamt,100,26.5,25.4,12,12.3,12.3,6.8,4.7
