age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,16.6,18.1,15.1,23.7,25.4,22.2,-7.1,-7.3,-7.1
25 bis unter 35,15.3,15.5,15.1,23.4,23.7,23.1,-8.1,-8.2,-8
35 bis unter 45,15.5,15.7,15.3,21.7,21.9,21.6,-6.2,-6.2,-6.3
45 bis unter 60,16.1,16,16.2,23.7,24,23.3,-7.6,-8,-7.1
60 bis unter 70,19.5,19.6,19.4,27.5,27.5,27.4,-8,-7.9,-8
70 und älter,23.6,24.1,23.2,27.3,28.2,26.6,-3.7,-4.1,-3.4
Insgesamt,17.9,18,17.8,24.6,24.9,24.3,-6.7,-6.9,-6.5
