age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,17.2,19.6,14.9,25.1,26.7,23.7,-7.9,-7.1,-8.8
25 bis unter 35,16.1,16.3,15.9,25.7,26.3,25.1,-9.6,-10.0,-9.2
35 bis unter 45,16.7,17.1,16.3,23.8,23.9,23.6,-7.1,-6.8,-7.3
45 bis unter 60,18.4,18.6,18.2,27.1,27.4,26.7,-8.7,-8.8,-8.5
60 bis unter 70,23.5,23.4,23.5,30.6,30.7,30.5,-7.1,-7.3,-7.0
70 und älter,25.1,25.2,25.0,27.9,28.7,27.3,-2.8,-3.5,-2.3
Insgesamt,19.9,20.0,19.8,27.0,27.4,26.6,-7.1,-7.4,-6.8
