age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,15,13.7,16.1,20.5,18.9,22.0,-5.5,-5.2,-5.9
25 bis unter 35,16.8,14.9,18.6,21.7,20.6,22.7,-4.9,-5.7,-4.1
35 bis unter 45,20.3,18.0,22.6,25.3,23.7,26.9,-5.0,-5.7,-4.3
45 bis unter 60,21.3,19.1,23.4,25.8,24.5,27.1,-4.5,-5.4,-3.7
60 bis unter 70,23.3,20.2,26.1,31.3,28.5,33.7,-8.0,-8.3,-7.6
70 und älter,33.2,29.3,36.2,41.4,37.9,43.9,-8.2,-8.6,-7.7
Insgesamt,22.7,19.9,25.3,28.5,26.2,30.6,-5.8,-6.3,-5.3
