age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,14.6,12.9,16.1,17.9,16.1,19.5,-3.3,-3.2,-3.4
25 bis unter 35,17.1,14.7,19.3,21.9,21.3,22.5,-4.8,-6.6,-3.2
35 bis unter 45,18.5,16.5,20.5,22.5,21.6,23.5,-4,-5.1,-3
45 bis unter 60,19.5,16.8,22.2,24,23.3,24.6,-4.5,-6.5,-2.4
60 bis unter 70,20.6,18,22.8,24.9,23.7,26.1,-4.3,-5.7,-3.3
70 und älter,22.3,19.5,24.3,25.8,23.3,27.6,-3.5,-3.8,-3.3
Insgesamt,19.3,16.8,21.6,23.4,22.2,24.5,-4.1,-5.4,-2.9
