age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,6,4.3,5.7,10.6,9.1,3.8,4.7,13.4
25 bis unter 35,15,9.4,13.8,27.3,21.8,10.4,9.6,27.2
35 bis unter 45,13,10.5,12.5,15.5,19.1,11.2,11.9,19.9
45 bis unter 60,26,22.8,25.1,25.3,31.8,36.2,27.2,27.6
60 bis unter 70,15,15.4,16.7,13.7,12.0,17.9,16.3,7.1
70 und älter,23,37.5,26.2,7.5,6.3,20.4,30.4,4.8
Insgesamt,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
