age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,5,3.8,5.3,4.6,7.9,2.6,8,8.7
25 bis unter 35,18,15.9,17.8,14.8,29.1,14.1,19.1,33.3
35 bis unter 45,17.5,15.8,17,14.4,27.2,17.4,19.8,23.5
45 bis unter 60,27.9,28,24.8,25.8,27,38.1,28.7,24.2
60 bis unter 70,13.6,14.7,11.9,17.1,4.8,15.4,11.3,6.7
70 und älter,18,21.8,23.2,23.3,3.9,12.4,13,3.6
Insgesamt,100,100,100,100,100,100,100,100
