age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,17,14.7,19.3,10.8,9.8,11.7,6.2,4.9,7.6
21 bis unter 25,20.4,17.2,23.5,15.0,13.0,16.9,5.4,4.2,6.6
25 bis unter 30,24.6,22.1,27.1,17.8,15.8,19.7,6.8,6.3,7.4
30 bis unter 35,25.3,23.4,27.1,18.7,17.1,20.3,6.6,6.3,6.8
35 bis unter 40,23.1,21.1,25.2,17.9,17.4,18.5,5.2,3.7,6.7
40 bis unter 45,22.4,21.8,23.0,17.8,17.4,18.3,4.6,4.4,4.7
45 bis unter 50,24.1,22.6,25.8,19.6,18.6,20.7,4.5,4.0,5.1
50 bis unter 60,27.3,25.4,29.1,21.9,20.3,23.4,5.4,5.1,5.7
60 bis unter 70,32.3,30.8,33.8,27.5,26.6,28.3,4.8,4.2,5.5
70 und älter,33.6,33.6,33.6,27.7,28.4,27.2,5.9,5.2,6.4
