age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,18.3,20,22.6,21.3,4.6,5.5,7.8
25 bis unter 35,100,18.5,19.3,22.6,20.7,6.6,4.2,8.1
35 bis unter 45,100,21.3,19.7,19.4,20.6,8.2,5.1,5.7
45 bis unter 60,100,24.2,19.5,19.5,15.3,11.4,5.8,4.4
60 bis unter 70,100,27.6,22.4,22.9,9.1,10,5.9,2.2
70 und älter,100,39.7,24.8,18,3.5,6.5,6.6,0.9
Insgesamt,100,26.4,21.1,20.3,13.8,8.5,5.6,4.3
