age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,24.1,25.8,22.4,30.7,32.2,29.3,-6.6,-6.4,-6.9
25 bis unter 35,23.1,23.0,23.2,28.6,30.6,26.6,-5.5,-7.6,-3.4
35 bis unter 45,23.8,23.9,23.7,27.2,27.6,26.9,-3.4,-3.7,-3.2
45 bis unter 60,24.1,24.1,24.1,29.5,30.2,28.8,-5.4,-6.1,-4.7
60 bis unter 70,28.2,28.1,28.4,34.5,35.1,34.0,-6.3,-7.0,-5.6
70 und älter,28.2,28.5,28.1,30.1,30.9,29.5,-1.9,-2.4,-1.4
Insgesamt,25.4,25.4,25.4,30.1,30.9,29.3,-4.7,-5.5,-3.9
