age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,17.8,21.2,21.9,18,5.9,6.4,8.7
25 bis unter 35,100,17.9,19.3,22.7,18.3,8.4,4.7,8.7
35 bis unter 45,100,20.4,19.4,19.7,17.6,10.8,5.1,6.9
45 bis unter 60,100,22.8,19.5,18.7,13.7,15.5,5.6,4.2
60 bis unter 70,100,25.8,22.2,22.8,8,13.2,5.8,2.3
70 und älter,100,37.4,24.8,18.4,3.2,8.8,6.5,0.9
Insgesamt,100,24.7,21,20.2,12.4,11.4,5.6,4.7
