feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Wahlberechtigte,x,x,x,x,x,x,x,x,x
Wählende,80.6,78.6,81.1,77.6,77.4,70.9,72.5,75.5925323702493,69.5
Briefwählende²,9.3,14.6,19.5,23.6,22,26.5,28,33.3894956699684,47
Wahllokalwählende²,90.7,85.4,80.5,76.4,78,73.5,72,66.6105043300316,53
