age,total,party_cdu,party_spu,party_die_linke,party_grüne,party_afd,party_fdp,others
18 bis unter 25,100,12.9,15.4,23.5,10.2,12.4,8.9,16.7
25 bis unter 35,100,14.7,14.5,23.1,13,14.1,8.4,12.3
35 bis unter 45,100,16.5,14.1,20.5,13.9,17.4,8.2,9.2
45 bis unter 60,100,16.8,12.4,22.2,10.6,25.4,7.4,5.2
60 bis unter 70,100,18,13.9,32.1,4.3,22.3,5.9,3.5
70 und älter,100,19.5,22.4,35.6,2.3,14.2,4.3,1.6
Insgesamt,100,16.8,15.1,25.6,9.4,19,7.1,7
