age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 25,8.2,8.7,7.6,13.1,15.9,10.4,-4.9,-7.2,-2.8
25 bis unter 35,7.6,8.8,6.5,11.7,14.7,8.9,-4.1,-5.9,-2.4
35 bis unter 45,6.6,7.8,5.4,8.2,9.6,6.9,-1.6,-1.8,-1.5
45 bis unter 60,3.8,3.7,3.8,5.8,6.8,4.8,-2.0,-3.1,-1.0
60 bis unter 70,2.1,2.4,1.7,3.0,3.6,2.4,-0.9,-1.2,-0.7
70 und älter,0.8,0.9,0.7,1.8,1.7,1.8,-1.0,-0.8,-1.1
Insgesamt,4.2,4.7,3.6,6.3,7.6,5.0,-2.1,-2.9,-1.4
