feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021
Gültige Zweitstimmen,100,93.5,92,87.6,84.8,78.9,81.6,84.146951268202,76.5
CDU,100,75.8,56.8,59.3,49.4,44.5,54.6,44.2546425289201,31.3
DIE LINKE²,100,192,198.8,186,480.5,676,697.2,898.555161013836,490.9
SPD,100,107,120.5,101.6,95.1,56.5,72.8,55.3759071787286,59.4
GRÜNE³,100,181,196.3,238.9,209.3,243.2,180.2,186.925687222304,285.2
AfD⁴,x,x,x,x,x,x,x,x,x
FDP,100,67.7,62,70.5,87.3,112.9,37,91.6710364636733,71.1
Sonstige,100,98.4,165.8,90.5,98.7,122.1,215.8,123.499806426636,151.1
