electoral_district_id,electoral_district_name,total,between_18_and_25,between_18_and_25_percentage,between_25_and_35,between_25_and_35_percentage,between_35_and_45,between_35_and_45_percentage,between_45_and_60,between_45_and_60_percentage,between_60_and_70,between_60_and_70_percentage,above_70,above_70_percentage
74,Berlin-Mitte,203015,19941,9.8,46193,22.8,38589,19,43422,21.4,26259,12.9,28611,14.1
75,Berlin-Pankow,231950,17435,7.5,31430,13.6,45952,19.8,67214,29,32543,14,37376,16.1
76,Berlin-Reinickendorf,171608,14149,8.2,21701,12.6,23254,13.6,38633,22.5,29701,17.3,44170,25.7
77,Berlin-Spandau –Charlottenburg Nord,175326,15215,8.7,24590,14,25480,14.5,38976,22.2,29959,17.1,41106,23.4
78,Berlin-Steglitz-Zehlendorf,212629,16918,8,23787,11.2,27901,13.1,50498,23.7,35531,16.7,57994,27.3
79,Berlin-Charlottenburg-Wilmersdorf,192967,14822,7.7,28918,15,26869,13.9,41940,21.7,31624,16.4,48794,25.3
80,Berlin-Tempelhof-Schöneberg,227326,18680,8.2,34379,15.1,35335,15.5,51492,22.7,37436,16.5,50004,22
81,Berlin-Neukölln,191307,16748,8.8,33262,17.4,35851,18.7,40658,21.3,28142,14.7,36646,19.2
82,Berlin-Friedrichshain-Kreuzberg  –  Prenzlauer Berg Ost,214618,17665,8.2,42226,19.7,49271,23,55284,25.8,25421,11.8,24751,11.5
83,Berlin-Treptow-Köpenick,205493,14750,7.2,27195,13.2,38525,18.7,47852,23.3,32306,15.7,44865,21.8
84,Berlin-Marzahn-Hellersdorf,195820,14423,7.4,21028,10.7,35445,18.1,41919,21.4,40160,20.5,42845,21.9
85,Berlin-Lichtenberg,195506,14271,7.3,27141,13.9,40050,20.5,40757,20.8,31007,15.9,42280,21.6
