feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,963992,970813,970925,994978,1011787,1038460,1045315,1046751,1031698,1029756
Wählende,732395,749748,777771,751381,774381,715616,745947,792630,706445,837355
Briefwählende,29299,78688,121662,153993,154336,173584,192941,247299,326192,325223
Wahllokalwählende,703096,671060,656109,597388,620045,542032,553006,545331,380253,512132
