feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,100,100,100,100,100,100,100,100,100,100
SPD,30.6,34,37.8,36.6,34.3,20.2,24.6,17.9,22.2,15.1
GRÜNE ²,7.2,10.2,11.3,14.6,13.7,17.4,12.3,12.6,22,16.8
CDU,39.4,31.4,23.7,25.9,22,22.8,28.5,22.7,17.2,18.3
Die Linke ³,9.7,14.8,13.4,11.4,16.4,20.2,18.5,18.8,11.5,19.9
AfD ⁴,x,x,x,x,x,x,4.9,12,8.5,15.2
FDP,9.1,5.2,4.9,6.6,8.2,11.5,3.6,8.9,8.1,3.8
Sonstige,3.9,4.4,8.8,4.9,5.4,7.9,12.6,7.1,9.4,10.9
