year,party_cdu,party_die_linke,party_spd,party_grüne,party_fdp,party_afd
1990,39.4,9.7,30.6,7.2,9.1,
1994,31.4,14.8,34,10.2,5.2,
1998,23.7,13.4,37.8,11.3,4.9,
2002,25.9,11.4,36.6,14.6,6.6,
2005,22,16.4,34.3,13.7,8.2,
2009,22.8,20.2,20.2,17.4,11.5,
2013,28.5,18.5,24.6,12.3,3.6,4.9
2017,22.7,18.8,17.9,12.6,8.9,12
2024,17.2,11.5,22.2,22,8.1,9.4
