district_name,eligible_voters,voters,valid_votes,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,others
Mitte,207010,140655,138799,28881,42486,16526,19610,7810,11040,12446
Friedrichshain-Kreuzberg,169836,122900,121651,21600,46433,8673,22903,4720,6693,10629
Pankow,282057,163969,162460,24971,43550,25772,24116,22085,6073,15893
Charlottenburg-Wilmersdorf,216244,144852,143228,31716,37537,31193,9468,9110,14813,9391
Spandau,159238,111246,108526,30031,14857,24000,5244,11620,10919,11855
Steglitz-Zehlendorf,217506,171803,169580,40677,38460,39905,8076,10036,20813,11613
Tempelhof-Schöneberg,231477,172069,169338,41215,42791,31751,12706,10921,15633,14321
Neukölln,196593,134004,131524,31498,29474,22400,15616,10089,9325,13122
Treptow-Köpenick,206999,156625,153871,35690,24686,20562,24609,19322,12190,16812
Marzahn-Hellersdorf,198002,133719,130849,29991,11207,21887,20755,22665,9372,14972
Lichtenberg,200461,143826,141167,32403,21777,16891,25840,17916,9796,16544
Reinickendorf,175195,114070,111952,25740,17477,29580,5067,12731,10331,11026
