feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,100,93.5,92,87.6,84.8,78.9,81.6,84.1,76.5,86.6
SPD,100,107,120.5,101.6,95.1,56.5,72.8,55.4,59.4,49.2
GRÜNE ²,100,181,196.3,238.9,209.3,243.2,180.2,186.9,285.2,248.8
CDU,100,75.8,56.8,59.3,49.4,44.5,54.6,44.3,31.3,38.3
Die Linke ³,100,192,198.8,186,480.5,676,697.2,898.6,490.9,1236.5
AfD ⁴,x,x,x,x,x,x,100,214.5,140.4,263.2
FDP,100,67.7,62,70.5,87.3,112.9,37,91.7,71.1,37.9
Sonstige,100,98.4,165.8,90.5,98.7,122.1,215.8,123.5,151.1,177.4
