feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,2012677,1950072,1957959,1872133,1856636,1723405,1787721,1869042,1682945,1949533
SPD,616320,663081,740915,685170,637674,348082,439387,334253,374413,295182
GRÜNE ²,145486,199208,221849,274008,254546,299535,220737,234947,370735,328035
CDU,792514,612217,463438,484017,408715,393180,508643,424321,289140,356099
Die Linke ³,195613,289517,263337,212642,303630,348661,330507,351170,194010,387222
AfD ⁴,x,x,x,x,x,x,88060,225170,159025,296990
FDP,183780,100649,95403,124004,152157,198516,63616,167046,136998,74076
Sonstige,78964,85400,173017,92292,99914,135431,224831,132135,158624,211929
