feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,100,100,100,100,100,100,100,100,100,100
SPD,31.3,33.1,35.1,38.9,34.9,18.1,21.1,15.1,20.5,12.4
GRÜNE ²,8.8,6.9,7.9,10.5,10.9,14.2,9.9,10.4,19.7,14.9
CDU,24.3,19.5,14.7,15.9,13.6,16.8,23.4,19.3,13.8,14.4
Die Linke ³,24.8,34.7,30,24.6,29.5,33.8,29.5,26.1,16.4,22.2
AfD ⁴,x,x,x,x,x,x,5.1,14.8,12.6,19.6
FDP,7.7,1.9,2.1,4.6,5.3,7.7,2.2,6.4,6.6,3.1
Sonstige,3.1,4,10.2,5.5,5.7,9.4,13.9,7.9,10.5,13.3
