feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,x,-2.4,-4.1,-1.6,-1.4,0.4,1.9,-0.3,-1.9,-1.2
Wählende,x,-6.9,-1.5,-4.8,-2.8,-6.8,3.1,2.8,-8.8,12
Briefwählende,x,30.1,26,11.4,-10.9,11,8.9,21.6,24.3,-5.2
Wahllokalwählende,x,-12.1,-7.2,-9.3,0,-12.3,0.9,-5.1,-26.5,27.7
