feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,2537310,2505857,2442929,2442795,2438902,2471665,2505718,2503070,2460618,2442042
Wählende,2043894,1970458,1980517,1896316,1887397,1752839,1815415,1892134,1709738,1961177
Briefwählende,190150,287920,385268,447549,415827,463906,509121,631774,804250,778367
Wahllokalwählende,1853744,1682538,1595249,1448767,1471570,1288933,1306294,1260360,905488,1182810
