feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,100,97.6,93.6,92,90.7,91.1,92.8,92.6,90.8,89.8
Wählende,100,93.1,91.7,87.3,84.9,79.1,81.5,83.8,76.5,85.7
Briefwählende,100,130.1,163.9,182.5,162.6,180.5,196.6,239,297.2,281.7
Wahllokalwählende,100,87.9,81.6,74,74,64.9,65.5,62.1,45.6,58.3
