feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,100,102.8,106.6,102.7,105.6,97.6,101.8,108.4,96.3,115.2
SPD,100,108.6,119.6,127.6,117.9,56.5,68.7,52.3,63,45.6
GRÜNE ²,100,80.2,96,123.2,130.7,157.7,115,128.7,215.7,195.5
CDU,100,82.5,64.4,67.4,59.2,67.5,97.9,86.2,54.5,68.4
Die Linke ³,100,144,128.8,101.7,125.6,132.9,120.8,114,63.5,103.3
AfD ⁴,x,x,x,x,x,x,100,312.1,235.5,438.7
FDP,100,25.2,28.9,60.5,72.4,96.9,29.1,89.1,82.4,45.8
Sonstige,100,133.2,355.9,184.5,198.1,298.3,461.7,279.9,328.6,502
