electoral_district_id,electoral_district_name,eligible_voters,voters,valid_second_votes,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,others
74,Berlin-Mitte,207010,140655,138799,28881,42486,16526,19610,7810,11040,12446
75,Berlin-Pankow,233069,135593,134342,20245,34836,22455,19157,19426,4932,13291
76,Berlin-Reinickendorf,175195,114070,111952,25740,17477,29580,5067,12731,10331,11026
77,Berlin-Spandau –Charlottenburg Nord,179896,122863,119955,32853,17193,26158,6074,12780,11798,13099
78,Berlin-Steglitz-Zehlendorf,217506,171803,169580,40677,38460,39905,8076,10036,20813,11613
79,Berlin-Charlottenburg-Wilmersdorf,195586,133235,131799,28894,35201,29035,8638,7950,13934,8147
80,Berlin-Tempelhof-Schöneberg,231477,172069,169338,41215,42791,31751,12706,10921,15633,14321
81,Berlin-Neukölln,196593,134004,131524,31498,29474,22400,15616,10089,9325,13122
82,Berlin-Friedrichshain-Kreuzberg  –  Prenzlauer Berg Ost,218824,151276,149769,26326,55147,11990,27862,7379,7834,13231
83,Berlin-Treptow-Köpenick,206999,156625,153871,35690,24686,20562,24609,19322,12190,16812
84,Berlin-Marzahn-Hellersdorf,198002,133719,130849,29991,11207,21887,20755,22665,9372,14972
85,Berlin-Lichtenberg,200461,143826,141167,32403,21777,16891,25840,17916,9796,16544
