feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,100,98.8,96.3,96.3,96.1,97.4,98.8,98.7,97,96.2
Wählende,100,96.4,96.9,92.8,92.3,85.8,88.8,92.6,83.7,96
Briefwählende,100,151.4,202.6,235.4,218.7,244,267.7,332.3,423,409.3
Wahllokalwählende,100,90.8,86.1,78.2,79.4,69.5,70.5,68,48.8,63.8
