address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,party_tierschutzpartei,party_die_partei,party_team_todenhöfer,party_freie_wähler,party_volt,party_mlpd,party_büso,party_sgp,party_bündnis_deutschland,party_bsw,party_mera25,party_pdf,aufn
01W100,Zweitstimme,01,Mitte,100,W,011A,1,74,W,819,534,285,0,418,21,418,0,71,101,56,97,25,18,4,1,5,2,3,2,0,0,2,27,2,2,
01W101,Zweitstimme,01,Mitte,101,W,011A,1,74,W,1227,869,358,0,536,11,528,8,87,72,68,140,76,17,7,4,6,3,3,0,0,0,0,41,1,3,
01W102,Zweitstimme,01,Mitte,102,W,011B,1,74,W,1019,499,520,0,384,9,384,0,64,101,78,33,26,42,0,2,0,0,9,0,0,0,1,27,1,0,
01W103,Zweitstimme,01,Mitte,103,W,011B,1,74,W,984,550,434,0,473,22,469,4,50,137,81,76,36,42,3,2,2,2,9,0,0,0,0,24,1,4,
01W104,Zweitstimme,01,Mitte,104,W,011C,1,74,O,1128,623,505,0,512,14,506,6,74,124,97,95,45,26,3,1,0,0,7,1,0,1,3,27,0,2,
01W105,Zweitstimme,01,Mitte,105,W,011D,1,74,O,941,536,405,0,429,11,425,4,61,115,64,94,32,26,2,3,0,0,6,0,0,0,0,19,3,0,
01W106,Zweitstimme,01,Mitte,106,W,011D,1,74,O,1022,578,444,0,491,18,490,1,62,141,98,77,38,45,3,0,0,0,8,1,0,0,0,16,1,0,
01W107,Zweitstimme,01,Mitte,107,W,011C,1,74,O,782,442,340,0,334,16,332,2,47,74,55,77,38,18,3,1,0,0,0,0,0,0,0,19,0,0,
01W108,Zweitstimme,01,Mitte,108,W,011F,1,74,O,1150,564,586,0,485,21,484,1,66,121,91,90,34,44,2,1,0,0,6,2,0,0,0,24,2,1,
01W109,Zweitstimme,01,Mitte,109,W,011E,1,74,O,1125,579,546,0,498,21,497,1,61,140,85,104,36,31,2,4,0,0,10,0,1,0,0,23,0,0,
01W110,Zweitstimme,01,Mitte,110,W,011E,1,74,O,971,585,386,0,518,18,517,1,75,160,79,83,28,55,0,1,2,0,3,0,0,0,1,30,0,0,
01W111,Zweitstimme,01,Mitte,111,W,011H,1,74,O,1091,796,295,0,513,4,504,9,88,56,106,112,87,9,12,4,0,0,1,0,1,0,1,23,4,0,
01W112,Zweitstimme,01,Mitte,112,W,011H,1,74,O,704,418,286,0,365,7,364,1,50,117,46,78,26,21,3,1,0,1,5,0,0,0,0,14,2,0,
01W113,Zweitstimme,01,Mitte,113,W,011I,1,74,O,954,559,395,0,503,17,502,1,56,179,61,118,32,23,1,4,1,0,5,0,0,0,0,20,1,1,
01W114,Zweitstimme,01,Mitte,114,W,011I,1,74,O,950,547,403,0,479,19,479,0,63,165,58,126,33,13,1,0,2,0,4,0,0,0,0,13,1,0,
01W115,Zweitstimme,01,Mitte,115,W,011L,1,74,O,1223,703,520,0,624,19,623,1,78,197,92,142,32,31,4,3,0,2,10,0,0,0,2,27,2,1,
01W116,Zweitstimme,01,Mitte,116,W,011M,1,74,O,1256,657,599,0,569,26,566,3,65,191,64,149,19,35,2,1,1,0,10,0,0,0,1,26,1,1,
01W117,Zweitstimme,01,Mitte,117,W,011N,1,74,O,1195,673,522,0,613,35,612,1,80,190,90,141,41,34,3,3,0,0,8,0,0,0,3,19,0,0,
01W118,Zweitstimme,01,Mitte,118,W,011N,1,74,O,752,429,323,0,398,18,398,0,51,134,58,99,18,16,3,0,0,1,2,0,0,0,0,14,1,1,
01W119,Zweitstimme,01,Mitte,119,W,011L,1,74,O,1054,598,456,0,525,21,522,3,67,146,75,113,43,29,3,6,0,0,6,1,0,0,1,31,0,1,
01W120,Zweitstimme,01,Mitte,120,W,011M,1,74,O,1051,631,420,0,541,16,541,0,63,150,69,132,65,24,0,5,0,0,9,0,0,2,0,22,0,0,
01W121,Zweitstimme,01,Mitte,121,W,011J,1,74,O,1161,716,445,0,586,13,584,2,80,131,91,148,43,28,8,7,0,2,8,0,0,0,1,35,1,1,
01W122,Zweitstimme,01,Mitte,122,W,011J,1,74,O,1162,712,450,0,598,18,596,2,82,173,81,159,32,25,3,4,1,0,6,0,0,0,1,28,1,0,
01W123,Zweitstimme,01,Mitte,123,W,011K,1,74,O,1227,711,516,0,586,17,585,1,71,176,69,139,42,35,1,5,0,0,12,0,0,0,0,32,3,0,
01W124,Zweitstimme,01,Mitte,124,W,011P,1,74,O,779,449,330,0,385,9,384,1,41,118,59,102,15,25,1,0,0,0,7,0,0,0,0,13,3,0,
01W125,Zweitstimme,01,Mitte,125,W,011P,1,74,O,873,509,364,0,422,18,421,1,52,129,76,95,23,23,0,3,0,0,3,0,0,0,0,16,1,0,
01W126,Zweitstimme,01,Mitte,126,W,011G,1,74,O,1192,673,519,0,553,16,551,2,57,145,82,113,62,36,2,2,1,1,10,0,0,1,1,38,0,0,
01W127,Zweitstimme,01,Mitte,127,W,011G,1,74,O,1211,724,487,0,607,18,606,1,76,164,85,161,52,24,3,3,0,1,7,0,0,0,0,30,0,0,
01W128,Zweitstimme,01,Mitte,128,W,011K,1,74,O,1226,778,448,0,654,25,650,4,76,139,94,134,90,37,13,4,0,4,7,0,0,0,0,49,2,1,
01W129,Zweitstimme,01,Mitte,129,W,011F,1,74,O,1086,593,493,0,449,11,448,1,61,92,93,80,37,46,1,2,0,0,9,0,0,0,0,25,2,0,
01B1A,Zweitstimme,01,Mitte,1A,B,011A,1,74,W,0,0,0,0,548,548,548,0,71,132,99,120,35,33,7,8,4,1,11,0,0,0,0,25,1,1,
01B1B,Zweitstimme,01,Mitte,1B,B,011B,1,74,W,0,0,0,0,876,876,876,0,117,256,217,101,36,85,4,3,3,0,29,0,0,0,1,22,0,2,
01B1C,Zweitstimme,01,Mitte,1C,B,011C,1,74,O,0,0,0,0,759,759,757,2,122,197,162,115,34,68,3,2,0,0,8,0,0,0,1,44,1,0,
01B1D,Zweitstimme,01,Mitte,1D,B,011D,1,74,O,0,0,0,0,771,771,770,1,76,246,171,120,28,69,3,2,2,0,21,0,0,0,0,30,0,2,
01B1E,Zweitstimme,01,Mitte,1E,B,011E,1,74,O,0,0,0,0,824,824,824,0,117,266,174,143,18,54,5,4,1,2,15,0,0,0,1,24,0,0,
01B1F,Zweitstimme,01,Mitte,1F,B,011F,1,74,O,0,0,0,0,959,959,958,1,123,241,250,147,61,74,8,5,0,0,19,0,0,0,1,27,0,2,
01B1G,Zweitstimme,01,Mitte,1G,B,011G,1,74,O,0,0,0,0,890,890,889,1,110,278,173,161,36,65,5,2,0,0,13,0,0,1,3,35,5,2,
01B1H,Zweitstimme,01,Mitte,1H,B,011H,1,74,O,0,0,0,0,532,532,531,1,100,108,120,95,34,31,9,2,1,0,8,0,0,0,2,20,1,0,
01B1I,Zweitstimme,01,Mitte,1I,B,011I,1,74,O,0,0,0,0,713,713,713,0,96,267,104,124,26,42,3,3,1,0,14,0,0,0,1,29,3,0,
01B1J,Zweitstimme,01,Mitte,1J,B,011J,1,74,O,0,0,0,0,799,799,799,0,124,211,154,174,35,49,1,4,1,1,9,0,0,0,1,30,2,3,
01B1K,Zweitstimme,01,Mitte,1K,B,011K,1,74,O,0,0,0,0,841,841,840,1,105,252,167,150,42,59,3,7,1,1,13,0,0,0,1,37,1,1,
01B1L,Zweitstimme,01,Mitte,1L,B,011L,1,74,O,0,0,0,0,873,873,873,0,118,283,156,184,39,41,4,1,1,1,12,0,0,0,0,32,1,0,
01B1M,Zweitstimme,01,Mitte,1M,B,011M,1,74,O,0,0,0,0,904,904,904,0,109,339,124,189,26,48,2,5,0,0,21,0,0,0,1,39,0,1,
01B1N,Zweitstimme,01,Mitte,1N,B,011N,1,74,O,0,0,0,0,723,723,722,1,85,262,113,134,34,45,5,3,0,1,13,0,0,0,0,25,2,0,
01B1P,Zweitstimme,01,Mitte,1P,B,011P,1,74,O,0,0,0,0,610,610,610,0,60,233,124,100,22,35,2,3,0,1,9,0,0,0,0,14,3,4,
01W200,Zweitstimme,01,Mitte,200,W,012A,2,74,O,830,582,248,0,446,14,444,2,61,43,75,93,83,45,2,3,1,1,2,0,0,0,1,34,0,0,
01W201,Zweitstimme,01,Mitte,201,W,012A,2,74,O,1090,649,441,0,479,14,476,3,45,61,79,93,89,50,3,1,1,0,6,0,0,0,0,46,2,0,
01W202,Zweitstimme,01,Mitte,202,W,012B,2,74,O,1144,698,446,0,495,13,492,3,74,50,89,108,75,29,2,5,2,2,3,0,0,0,0,53,0,0,
01W203,Zweitstimme,01,Mitte,203,W,012C,2,74,O,1184,695,489,0,516,16,511,5,59,59,89,108,88,53,1,4,1,1,5,0,0,1,0,40,1,1,
01W204,Zweitstimme,01,Mitte,204,W,012D,2,74,O,1193,763,430,0,542,10,539,3,83,71,62,157,81,14,5,2,1,0,5,0,0,0,1,57,0,0,
01W205,Zweitstimme,01,Mitte,205,W,012E,2,74,O,1152,740,412,0,522,10,519,3,65,62,60,155,87,11,6,5,3,0,3,2,0,0,1,55,3,1,
01W206,Zweitstimme,01,Mitte,206,W,012E,2,74,O,1062,680,382,0,529,18,528,1,103,59,72,123,87,26,3,1,2,0,4,0,0,0,0,47,1,0,
01W207,Zweitstimme,01,Mitte,207,W,012F,2,74,O,949,523,426,0,455,19,454,1,64,140,59,102,25,32,1,1,0,1,5,0,0,0,0,24,0,0,
01W208,Zweitstimme,01,Mitte,208,W,012F,2,74,O,1211,723,488,0,619,27,617,2,75,173,74,160,40,46,5,5,2,1,3,0,0,0,0,33,0,0,
01W209,Zweitstimme,01,Mitte,209,W,012G,2,74,O,980,589,391,0,476,17,473,3,55,131,53,106,51,31,2,8,2,0,7,0,0,1,2,21,3,0,
01W210,Zweitstimme,01,Mitte,210,W,012H,2,74,O,898,525,373,0,438,17,436,2,40,110,69,110,40,22,3,6,1,0,6,0,0,0,1,27,0,1,
01W211,Zweitstimme,01,Mitte,211,W,012G,2,74,O,1039,679,360,0,538,16,536,2,74,100,63,146,67,32,6,3,1,1,3,1,1,1,1,31,3,2,
01W212,Zweitstimme,01,Mitte,212,W,012H,2,74,O,1070,638,432,0,449,16,445,4,57,83,56,118,52,26,3,2,1,0,5,0,0,0,1,38,1,2,
01W213,Zweitstimme,01,Mitte,213,W,012I,2,74,O,1064,689,375,0,543,19,537,6,86,56,74,145,99,20,2,1,1,0,4,0,0,0,1,48,0,0,
01W214,Zweitstimme,01,Mitte,214,W,012B,2,74,O,1040,629,411,0,480,22,477,3,77,61,94,97,49,32,1,2,0,0,5,2,0,0,0,55,1,1,
01W215,Zweitstimme,01,Mitte,215,W,012C,2,74,O,1193,642,551,0,500,19,500,0,71,89,116,66,67,43,4,1,0,3,6,0,0,0,0,33,0,1,
01W216,Zweitstimme,01,Mitte,216,W,012L,2,74,O,1137,675,462,0,539,16,538,1,90,108,109,81,54,54,5,4,3,0,8,0,0,0,0,20,2,0,
01W217,Zweitstimme,01,Mitte,217,W,012L,2,74,O,1145,696,449,0,605,15,599,6,85,113,87,157,84,14,4,3,0,1,8,0,0,1,1,41,0,0,
