feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Gültige Zweitstimmen,100,100,100,100,100,100,100,100,100,100
SPD,30.2,34.6,39.6,35.1,33.9,21.6,27,19.9,23.5,17.2
GRÜNE ²,6.4,12.3,13.5,17.3,15.7,19.6,14,14.1,23.7,18.2
CDU,47.8,38.7,29.5,32.4,27.9,27,32,25.2,19.6,21.1
Die Linke ³,1.3,2.6,2.7,2.7,7.2,10.8,10.8,13.5,8.1,18.1
AfD ⁴,x,x,x,x,x,x,x,10.1,7.2,12
FDP,9.9,7.2,6.7,8,10.2,14.2,4.5,10.8,9.2,4.3
Sonstige,4.4,4.6,7.9,4.6,5.1,6.8,11.7,6.5,8.7,9
