address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
01B1K,01,Mitte,1K,B,011K,O,01,74,0,621,1,620,84,13.548387096774196,176,28.387096774193548,130,20.967741935483872,88,14.193548387096774,24,3.870967741935484,58,9.35483870967742,60,9.67741935483871
01B1L,01,Mitte,1L,B,011L,O,01,74,0,632,0,632,89,14.082278481012658,244,38.607594936708864,115,18.196202531645568,78,12.341772151898734,14,2.2151898734177213,46,7.2784810126582276,46,7.2784810126582276
01B1M,01,Mitte,1M,B,011M,O,01,74,0,664,0,664,75,11.295180722891567,280,42.168674698795186,114,17.16867469879518,74,11.144578313253012,17,2.5602409638554215,48,7.228915662650602,56,8.433734939759036
01B1N,01,Mitte,1N,B,011N,O,01,74,0,517,0,517,74,14.313346228239846,189,36.55705996131528,106,20.502901353965182,57,11.02514506769826,8,1.5473887814313347,48,9.284332688588009,35,6.769825918762089
01B1P,01,Mitte,1P,B,011P,O,01,74,0,434,0,434,62,14.285714285714285,151,34.7926267281106,99,22.811059907834103,42,9.67741935483871,7,1.6129032258064515,47,10.829493087557603,26,5.990783410138248
01B2A,01,Mitte,2A,B,012A,O,02,74,0,581,2,578,96,16.608996539792386,74,12.802768166089965,208,35.98615916955018,79,13.667820069204154,28,4.844290657439446,45,7.7854671280276815,48,8.304498269896193
01B2B,01,Mitte,2B,B,012B,O,02,74,0,694,3,690,114,16.52173913043478,96,13.91304347826087,218,31.594202898550726,109,15.797101449275363,49,7.101449275362319,55,7.971014492753622,49,7.101449275362319
01B2C,01,Mitte,2C,B,012C,O,02,74,0,735,3,731,126,17.236662106703147,107,14.6374829001368,219,29.958960328317374,116,15.868673050615595,46,6.292749658002736,62,8.481532147742818,55,7.523939808481532
01B2D,01,Mitte,2D,B,012D,O,02,74,0,657,1,656,116,17.682926829268293,111,16.920731707317074,177,26.981707317073173,105,16.00609756097561,33,5.0304878048780495,68,10.365853658536585,46,7.01219512195122
01B2E,01,Mitte,2E,B,012E,O,02,74,0,596,3,593,84,14.165261382799327,212,35.750421585160204,93,15.682967959527824,83,13.99662731871838,21,3.541315345699832,49,8.263069139966273,51,8.600337268128163
01B2F,01,Mitte,2F,B,012F,O,02,74,0,500,0,500,62,12.4,170,34,83,16.6,84,16.8,16,3.2,42,8.4,43,8.6
01B2G,01,Mitte,2G,B,012G,O,02,74,0,515,1,514,68,13.229571984435799,163,31.712062256809336,89,17.315175097276263,89,17.315175097276263,18,3.501945525291829,41,7.976653696498054,46,8.949416342412452
01B2H,01,Mitte,2H,B,012H,O,02,74,0,524,3,521,87,16.698656429942417,121,23.224568138195778,121,23.224568138195778,85,16.314779270633398,33,6.333973128598848,40,7.677543186180421,34,6.525911708253358
01B2I,01,Mitte,2I,B,012I,O,02,74,0,536,2,534,111,20.786516853932586,59,11.04868913857678,148,27.715355805243448,124,23.220973782771537,37,6.928838951310862,19,3.5580524344569286,36,6.741573033707865
01B2J,01,Mitte,2J,B,012J,O,02,74,0,517,3,514,113,21.98443579766537,42,8.171206225680933,144,28.01556420233463,133,25.87548638132296,32,6.22568093385214,11,2.140077821011673,39,7.587548638132295
01B2K,01,Mitte,2K,B,012K,O,02,74,0,487,4,483,87,18.012422360248447,60,12.422360248447205,126,26.08695652173913,113,23.395445134575567,41,8.488612836438923,18,3.7267080745341614,38,7.867494824016563
01B2L,01,Mitte,2L,B,012L,O,02,74,0,748,0,748,127,16.97860962566845,169,22.593582887700535,187,25,117,15.641711229946523,40,5.347593582887701,58,7.754010695187167,50,6.684491978609626
01B2M,01,Mitte,2M,B,012M,O,02,74,0,679,2,677,133,19.64549483013294,97,14.32791728212703,182,26.88330871491876,140,20.6794682422452,45,6.646971935007386,37,5.465288035450517,43,6.3515509601181686
