address,district_id,district_name,electoral_district_id,electoral_district_type,postal_voting_district_id,berlin_east_west,electoral_district_berlin_election_id,electoral_district_federal_election_id,eligible_voters,voters,invalid_votes,valid_votes,party_spd,party_spd_percentage,party_grüne,party_grüne_percentage,party_afd,party_cdu,party_cdu_percentage,party_die_linke,party_die_linke_percentage,party_afd_percentage,party_fdp,party_fdp_percentage,others,others_percentage
Adresse,Bezirksnummer,Bezirksname,Wahlbezirk,Wahlbezirksart,Briefwahlbezirksnummer,OstWest,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,Wahlberechtigte insgesamt,Wählende,Ungültige Stimmen,Gültige Stimmen,SPD,SPD in Prozent,GRÜNE,GRÜNE in Prozent,CDU,CDU in Prozent,DIE LINKE,DIE LINKE in Prozent,AfD,AfD in Prozent,FDP,FDP in Prozent,Sonstige,Sonstige in Prozent
01B1J,01,Mitte,1J,B,011J,O,01,74,0,965,4,961,181,18.834547346514046,375,39.021852237252865,125,13.007284079084286,92,9.573361082206034,16,1.664932362122789,121,12.59105098855359,51,5.30697190426639
01B1K,01,Mitte,1K,B,011K,O,01,74,0,951,5,946,169,17.864693446088793,313,33.086680761099366,141,14.904862579281183,102,10.782241014799155,33,3.488372093023256,127,13.424947145877377,61,6.4482029598308666
01B1L,01,Mitte,1L,B,011L,O,01,74,0,755,2,753,117,15.53784860557769,340,45.15272244355909,91,12.084993359893758,75,9.9601593625498,25,3.3200531208499333,71,9.428950863213812,34,4.51527224435591
01B1M,01,Mitte,1M,B,011M,O,01,74,0,926,5,921,148,16.069489685124864,406,44.08251900108577,100,10.857763300760045,89,9.66340933767644,27,2.9315960912052117,100,10.857763300760045,51,5.537459283387622
01B1N,01,Mitte,1N,B,011N,O,01,74,0,758,1,757,123,16.248348745046233,325,42.932628797886395,85,11.228533685601057,71,9.379128137384413,18,2.3778071334214,104,13.738441215323647,31,4.095112285336857
01B1P,01,Mitte,1P,B,011P,O,01,74,0,704,1,703,117,16.642958748221908,288,40.96728307254623,79,11.2375533428165,61,8.677098150782362,13,1.849217638691323,116,16.500711237553343,29,4.125177809388336
01B2A,01,Mitte,2A,B,012A,O,02,74,0,795,6,789,173,21.926489226869457,118,14.955640050697086,137,17.363751584283904,105,13.307984790874524,46,5.830164765525982,146,18.50443599493029,64,8.111533586818757
01B2B,01,Mitte,2B,B,012B,O,02,74,0,909,4,905,211,23.314917127071823,159,17.569060773480665,169,18.674033149171272,125,13.812154696132598,50,5.524861878453039,135,14.917127071823206,56,6.1878453038674035
01B2C,01,Mitte,2C,B,012C,O,02,74,0,967,8,959,219,22.83628779979145,175,18.248175182481752,177,18.45672575599583,140,14.5985401459854,49,5.109489051094891,138,14.389989572471324,61,6.360792492179354
01B2D,01,Mitte,2D,B,012D,O,02,74,0,909,9,900,197,21.88888888888889,183,20.333333333333332,155,17.22222222222222,138,15.333333333333332,37,4.111111111111112,122,13.555555555555557,68,7.555555555555555
01B2E,01,Mitte,2E,B,012E,O,02,74,0,910,2,908,147,16.189427312775333,350,38.54625550660793,108,11.894273127753303,115,12.665198237885464,21,2.3127753303964758,117,12.885462555066079,50,5.506607929515418
01B2F,01,Mitte,2F,B,012F,O,02,74,0,781,2,779,138,17.715019255455715,284,36.45699614890886,96,12.323491655969192,105,13.478818998716303,26,3.3376123234916557,97,12.45186136071887,33,4.2362002567394095
01B2G,01,Mitte,2G,B,012G,O,02,74,0,791,2,789,144,18.250950570342205,270,34.22053231939163,98,12.420785804816223,111,14.068441064638785,28,3.5487959442332064,95,12.040557667934094,43,5.4499366286438535
01B2H,01,Mitte,2H,B,012H,O,02,74,0,786,2,784,140,17.857142857142858,221,28.188775510204085,90,11.479591836734695,120,15.306122448979592,35,4.464285714285714,114,14.540816326530612,64,8.16326530612245
