feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,1573318,1535044,1472004,1447817,1427115,1433205,1460403,1456319,1428920,1412286
Wählende,1311499,1220710,1202746,1144935,1113016,1037223,1069468,1099504,1003293,1123822
Briefwählende,160851,209232,263606,293556,261491,290322,316180,384475,478058,453144
Wahllokalwählende,1150648,1011478,939140,851379,851525,746901,753288,715029,525235,670678
