feature,year_1990,year_1994,year_1998,year_2002,year_2005,year_2009,year_2013,year_2017,year_2021,year_2025
Wahlberechtigte,100,100.7,100.7,103.2,105,107.7,108.4,108.6,107,106.8
Wählende,100,102.4,106.2,102.6,105.7,97.7,101.9,108.2,96.5,114.3
Briefwählende,100,268.6,415.2,525.6,526.8,592.5,658.5,844.1,1113.3,1110
Wahllokalwählende,100,95.4,93.3,85,88.2,77.1,78.7,77.6,54.1,72.8
