electoral_district_id,electoral_district_name,eligible_voters,voters,valid_first_votes,party_spd,party_grüne,party_cdu,party_die_linke,party_afd,party_fdp,others
74,Berlin-Mitte,207010,140655,138594,30611,42443,19216,19764,7632,8448,10480
75,Berlin-Pankow,233069,135593,134134,21387,35919,23439,19048,19023,4069,11249
76,Berlin-Reinickendorf,175195,114070,111709,26901,15523,32972,5194,12583,8333,10203
77,Berlin-Spandau –Charlottenburg Nord,179896,122863,119815,39062,14004,28647,6484,12440,9954,9224
78,Berlin-Steglitz-Zehlendorf,217506,171803,169542,41371,37751,48530,7196,9277,14929,10488
79,Berlin-Charlottenburg-Wilmersdorf,195586,133235,131816,33723,33119,33023,7417,7062,10222,7250
80,Berlin-Tempelhof-Schöneberg,231477,172069,169456,45220,42680,37902,10177,10013,12041,11423
81,Berlin-Neukölln,196593,134004,131078,33880,25790,25173,16943,10047,8240,11005
82,Berlin-Friedrichshain-Kreuzberg  –  Prenzlauer Berg Ost,218824,151276,149632,24416,56602,12706,27024,6999,6784,15101
83,Berlin-Treptow-Köpenick,206999,156625,154175,23684,15806,21016,54548,17978,8950,12193
84,Berlin-Marzahn-Hellersdorf,198002,133719,131061,18901,8064,38914,28572,20980,5859,9771
85,Berlin-Lichtenberg,200461,143826,141107,27413,19179,17696,36409,17415,8463,14532
