id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
282,01,204255,147016,3387,143629,95681,47948,71.97669579692052,2.3038308755509602,97.69616912444904,65.0820318876857,32.61413723676335
634,02,168102,129129,2353,126776,95507,31269,76.81586179819395,1.822208798952985,98.17779120104701,73.96247163689024,24.215319564156772
993,03,282096,216351,3905,212446,134389,78057,76.69410413476263,1.804937347181201,98.1950626528188,62.11619081954787,36.07887183327094
1444,04,215247,163882,4058,159824,84016,75808,76.1367173526228,2.4761718797671497,97.52382812023285,51.266154916342245,46.257673203890604
1270,05,158696,108855,3849,105006,57345,47661,68.59341130211222,3.5358963759129116,96.46410362408709,52.680170869505304,43.783932754581784
2112,06,215825,170813,4115,166698,77166,89532,79.14421406231901,2.409067225562457,97.59093277443755,45.17571847576004,52.415214298677505
2324,07,229605,171920,4399,167521,93776,73745,74.87641819646784,2.558748255002327,97.44125174499767,54.546300604932526,42.894951140065146
2768,08,195615,135711,3906,131805,84740,47065,69.37658155049459,2.878174945288149,97.12182505471185,62.44151174186322,34.680313312848625
3168,09,205948,154225,4023,150202,91480,58722,74.88540796705965,2.6085265034851677,97.39147349651483,59.31593451126601,38.075538985248826
2800,10,197241,133956,4489,129467,75956,53511,67.91488585030496,3.35110036131267,96.64889963868734,56.70220072262534,39.94669891606199
3454,11,199563,141910,3589,138321,88045,50276,71.11037617193567,2.5290677189768163,97.47093228102318,62.04284405609188,35.428088224931294
2916,12,175407,124540,4587,119953,57849,62104,71.00058720575576,3.6831540067448207,96.31684599325519,46.45013650232857,49.86670949092661
