address,vote_type,district_id,district_name,electoral_district_id,electoral_district_type,electoral_district_berlin_election_id,electoral_district_federal_election_id,berlin_east_west,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
01W310,,01,Mitte,310,,3,75,W,900,616,284,0,487,4,10,477,285,192
01W311,,01,Mitte,311,,3,75,W,1037,637,400,0,478,6,11,467,272,195
01W312,,01,Mitte,312,,3,75,W,783,494,289,0,380,7,8,372,220,152
01W313,,01,Mitte,313,,3,75,W,825,568,257,0,407,7,6,401,245,156
01W314,,01,Mitte,314,,3,75,W,1085,803,282,0,559,4,11,548,358,190
01W315,,01,Mitte,315,,3,75,W,831,605,226,0,386,5,10,376,233,143
01W316,,01,Mitte,316,,3,75,W,1215,979,236,0,634,6,12,622,448,174
01W317,,01,Mitte,317,,3,75,W,745,563,182,0,387,0,2,385,225,160
01W318,,01,Mitte,318,,3,75,W,1116,724,392,0,545,6,12,533,340,193
01W319,,01,Mitte,319,,3,75,W,998,630,368,0,471,3,6,465,293,172
01W320,,01,Mitte,320,,3,75,W,591,385,206,0,322,4,7,315,168,147
01W321,,01,Mitte,321,,3,75,W,997,667,330,0,465,3,10,455,300,155
01W322,,01,Mitte,322,,3,75,W,1127,771,356,0,487,3,6,481,354,127
01W323,,01,Mitte,323,,3,75,W,1153,806,347,0,597,6,17,580,371,209
01W324,,01,Mitte,324,,3,75,W,1583,1043,540,0,630,0,13,617,423,194
01W325,,01,Mitte,325,,3,75,W,998,763,235,0,403,0,13,390,251,139
01W326,,01,Mitte,326,,3,75,W,1174,840,334,0,593,3,10,583,342,241
01W327,,01,Mitte,327,,3,75,W,1471,1050,421,0,691,14,11,680,357,323
01W400,,01,Mitte,400,,4,75,W,1351,1031,320,0,629,6,14,615,404,211
01W401,,01,Mitte,401,,4,75,W,924,736,188,0,456,5,6,450,278,172
01W402,,01,Mitte,402,,4,75,W,1308,1082,226,0,617,2,14,603,399,204
01W403,,01,Mitte,403,,4,75,W,1010,744,266,0,506,8,18,488,259,229
01W404,,01,Mitte,404,,4,75,W,704,545,159,0,350,4,10,340,208,132
01W405,,01,Mitte,405,,4,75,W,790,622,168,0,407,0,8,399,257,142
01W406,,01,Mitte,406,,4,75,W,847,639,208,0,449,9,22,427,231,196
