district_id,district_name,electoral_district_id,electoral_district_type,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,vote_yes,vote_no
1,Mitte,1A ,Briefwahlbezirk,0,0,0,0,818,818,10,808,783,25
1,Mitte,1B ,Briefwahlbezirk,0,0,0,0,776,776,1,775,743,32
1,Mitte,1C ,Briefwahlbezirk,0,0,0,0,766,766,0,766,751,15
1,Mitte,1D ,Briefwahlbezirk,0,0,0,0,764,764,0,764,742,22
1,Mitte,1F ,Briefwahlbezirk,0,0,0,0,772,772,0,772,746,26
1,Mitte,1G ,Briefwahlbezirk,0,0,0,0,776,776,0,776,760,16
1,Mitte,1H ,Briefwahlbezirk,0,0,0,0,779,779,1,778,757,21
1,Mitte,1J ,Briefwahlbezirk,0,0,0,0,764,764,0,764,750,14
1,Mitte,1K ,Briefwahlbezirk,0,0,0,0,754,754,0,754,722,32
1,Mitte,1L ,Briefwahlbezirk,0,0,0,0,756,756,1,755,739,16
1,Mitte,1M ,Briefwahlbezirk,0,0,0,0,736,736,1,735,717,18
1,Mitte,1N ,Briefwahlbezirk,0,0,0,0,780,780,9,771,743,28
1,Mitte,100,Urnenwahlbezirk,3066,2893,173,0,447,0,1,446,439,7
1,Mitte,101,Urnenwahlbezirk,2469,2230,239,0,364,3,0,364,356,8
1,Mitte,105,Urnenwahlbezirk,3952,3760,192,0,705,1,0,705,693,12
1,Mitte,107,Urnenwahlbezirk,3634,3417,217,0,640,3,1,639,633,6
1,Mitte,111,Urnenwahlbezirk,2365,2263,102,0,506,0,0,506,492,14
1,Mitte,112,Urnenwahlbezirk,2315,2194,121,0,473,0,0,473,471,2
1,Mitte,115,Urnenwahlbezirk,3041,2843,198,0,511,1,0,511,501,10
1,Mitte,118,Urnenwahlbezirk,2487,2340,147,0,403,0,2,401,397,4
1,Mitte,120,Urnenwahlbezirk,3496,3383,113,0,604,0,1,603,594,9
1,Mitte,121,Urnenwahlbezirk,2800,2637,163,0,522,0,0,522,518,4
1,Mitte,129,Urnenwahlbezirk,3099,2994,105,0,458,1,4,454,444,10
1,Mitte,200,Urnenwahlbezirk,2034,1873,161,0,397,0,0,397,394,3
1,Mitte,202,Urnenwahlbezirk,3406,3095,311,0,643,1,0,643,633,10
1,Mitte,205,Urnenwahlbezirk,2909,2669,240,0,630,2,0,630,626,4
1,Mitte,207,Urnenwahlbezirk,3174,2846,328,0,545,4,0,545,539,6
1,Mitte,209,Urnenwahlbezirk,3865,3662,203,0,634,2,3,631,622,9
1,Mitte,212,Urnenwahlbezirk,3370,3068,302,0,785,0,1,784,769,15
1,Mitte,214,Urnenwahlbezirk,3038,2826,212,0,689,3,1,688,675,13
1,Mitte,217,Urnenwahlbezirk,2151,1952,199,0,443,0,0,443,432,11
1,Mitte,219,Urnenwahlbezirk,3364,3111,253,0,815,4,0,815,803,12
1,Mitte,221,Urnenwahlbezirk,3838,3562,276,0,906,3,0,906,886,20
1,Mitte,300,Urnenwahlbezirk,3186,3023,163,0,547,2,0,547,534,13
1,Mitte,302,Urnenwahlbezirk,2793,2637,156,0,517,0,0,517,503,14
1,Mitte,305,Urnenwahlbezirk,3224,2988,236,0,703,3,1,702,694,8
1,Mitte,307,Urnenwahlbezirk,2777,2638,139,0,495,1,0,495,480,15
1,Mitte,308,Urnenwahlbezirk,2091,2000,91,0,295,1,2,293,284,9
1,Mitte,312,Urnenwahlbezirk,2404,2234,170,0,593,0,0,593,588,5
1,Mitte,315,Urnenwahlbezirk,2274,2112,162,0,578,0,0,578,574,4
1,Mitte,317,Urnenwahlbezirk,3595,3339,256,0,807,2,0,807,787,20
1,Mitte,321,Urnenwahlbezirk,2339,2173,166,0,376,2,0,376,372,4
1,Mitte,323,Urnenwahlbezirk,2205,2101,104,0,361,0,0,361,355,6
1,Mitte,325,Urnenwahlbezirk,2625,2491,134,0,331,1,0,331,330,1
1,Mitte,327,Urnenwahlbezirk,2936,2805,131,0,410,1,0,410,399,11
1,Mitte,400,Urnenwahlbezirk,3332,3233,99,0,419,1,1,418,407,11
1,Mitte,403,Urnenwahlbezirk,2655,2533,122,0,499,1,0,499,488,11
1,Mitte,404,Urnenwahlbezirk,2573,2449,124,0,510,2,0,510,507,3
1,Mitte,405,Urnenwahlbezirk,1906,1815,91,0,323,0,0,323,318,5
1,Mitte,409,Urnenwahlbezirk,3172,3025,147,0,677,1,0,677,663,14
1,Mitte,414,Urnenwahlbezirk,2056,1965,91,0,342,0,0,342,338,4
1,Mitte,415,Urnenwahlbezirk,2880,2752,128,0,502,2,0,502,490,12
1,Mitte,416,Urnenwahlbezirk,3623,3463,160,0,699,2,1,698,679,19
1,Mitte,421,Urnenwahlbezirk,2781,2659,122,0,478,4,1,477,468,9
1,Mitte,425,Urnenwahlbezirk,2740,2624,116,0,515,0,0,515,495,20
1,Mitte,427,Urnenwahlbezirk,2911,2762,149,0,530,0,0,530,523,7
1,Mitte,431,Urnenwahlbezirk,3080,2940,140,0,482,5,1,481,474,7
1,Mitte,500,Urnenwahlbezirk,3136,2976,160,0,568,0,2,566,550,16
1,Mitte,504,Urnenwahlbezirk,3129,2994,135,0,537,1,0,537,532,5
1,Mitte,505,Urnenwahlbezirk,2705,2565,140,0,629,0,1,628,620,8
1,Mitte,508,Urnenwahlbezirk,2218,2087,131,0,437,0,0,437,433,4
1,Mitte,510,Urnenwahlbezirk,2216,2098,118,0,325,1,0,325,316,9
1,Mitte,512,Urnenwahlbezirk,2150,2051,99,0,377,0,0,377,369,8
1,Mitte,513,Urnenwahlbezirk,2586,2471,115,0,347,1,0,347,340,7
1,Mitte,516,Urnenwahlbezirk,3134,2991,143,0,591,2,0,591,580,11
1,Mitte,519,Urnenwahlbezirk,2449,2324,125,0,636,0,0,636,624,12
1,Mitte,522,Urnenwahlbezirk,2397,2303,94,0,329,0,2,327,321,6
1,Mitte,524,Urnenwahlbezirk,2107,2023,84,0,330,2,1,329,326,3
1,Mitte,528,Urnenwahlbezirk,3201,3071,130,0,598,2,2,596,582,14
1,Mitte,600,Urnenwahlbezirk,2182,2079,103,0,294,0,0,294,288,6
1,Mitte,601,Urnenwahlbezirk,3098,2990,108,0,378,0,0,378,371,7
1,Mitte,602,Urnenwahlbezirk,1911,1851,60,0,404,2,1,403,395,8
1,Mitte,603,Urnenwahlbezirk,2669,2547,122,0,358,0,0,358,349,9
1,Mitte,605,Urnenwahlbezirk,2919,2816,103,0,425,1,0,425,420,5
1,Mitte,612,Urnenwahlbezirk,2090,2027,63,0,328,1,0,328,316,12
1,Mitte,613,Urnenwahlbezirk,3166,3067,99,0,424,0,0,424,419,5
1,Mitte,617,Urnenwahlbezirk,2222,2128,94,0,261,0,0,261,256,5
1,Mitte,620,Urnenwahlbezirk,1954,1865,89,0,243,0,0,243,236,7
1,Mitte,623,Urnenwahlbezirk,2938,2841,97,0,450,1,0,450,428,22
1,Mitte,624,Urnenwahlbezirk,2451,2382,69,0,365,0,0,365,354,11
1,Mitte,627,Urnenwahlbezirk,2771,2701,70,0,340,5,2,338,329,9
1,Mitte,632,Urnenwahlbezirk,2308,2189,119,0,460,2,2,458,443,15
1,Mitte,634,Urnenwahlbezirk,2692,2586,106,0,409,1,1,408,397,11
2,Friedrichshain-Kreuzberg,1A ,Briefwahlbezirk,0,0,0,0,506,506,0,506,483,23
