id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,aufn,partial_election_repetition,voter_turnout,invalid_votes_percentage,valid_votes_percentage
01100,01,100,1639,1112,527,0,287,2,284,3,40,21,54,95,25,25,7,5,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,2,nan,Teilwiederholungswahl 2024,17.510677242220865,1.0452961672473868,98.95470383275261
01101,01,101,971,623,348,0,270,8,266,4,54,20,30,105,19,22,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,nan,Teilwiederholungswahl 2024,27.80638516992791,1.4814814814814816,98.51851851851852
01102,01,102,1223,826,397,0,279,1,278,1,46,41,43,70,33,17,4,9,3,1,3,0,0,1,0,1,0,0,0,0,0,1,1,4,nan,Teilwiederholungswahl 2024,22.812755519215045,0.35842293906810035,99.6415770609319
01103,01,103,1048,449,599,0,330,10,329,1,36,19,59,112,15,64,3,4,4,0,1,0,0,1,0,0,0,0,0,0,0,1,3,7,nan,nan,31.48854961832061,0.30303030303030304,99.69696969696969
01104,01,104,1321,642,679,0,525,17,520,5,54,54,96,203,20,66,4,4,2,0,4,3,1,0,0,0,0,0,0,0,0,0,2,7,nan,nan,39.74261922785768,0.9523809523809524,99.04761904761905
01105,01,105,1045,579,466,0,436,11,429,7,51,63,95,136,24,40,5,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6,nan,nan,41.72248803827751,1.6055045871559634,98.39449541284404
01106,01,106,1455,962,493,0,393,11,390,3,87,63,65,104,27,26,5,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,2,4,nan,Teilwiederholungswahl 2024,27.010309278350515,0.7633587786259541,99.23664122137404
01107,01,107,1086,790,296,0,309,17,307,2,44,37,44,110,34,26,4,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,nan,Teilwiederholungswahl 2024,28.45303867403315,0.6472491909385114,99.35275080906149
01108,01,108,1075,724,351,0,233,4,231,2,52,36,28,56,28,17,2,5,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,nan,Teilwiederholungswahl 2024,21.674418604651162,0.8583690987124464,99.14163090128756
01109,01,109,1090,859,231,0,206,3,203,3,43,25,33,35,37,8,4,9,3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,nan,Teilwiederholungswahl 2024,18.89908256880734,1.4563106796116505,98.54368932038835
