id,district_id,electoral_district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_menschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu_percentage,party_die_linke_percentage,party_spd_percentage,party_grüne_percentage,party_afd_percentage,party_fdp_percentage,party_die_partei_percentage,party_tierschutzpartei_percentage,party_piraten_percentage,party_die_grauen_percentage,party_freie_wähler_percentage,party_verjüngungsforschung_percentage,party_ödp_percentage,party_du_percentage,party_v_partei3_percentage,party_dkp_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_wir_bürger_percentage,party_heimat_percentage,party_die_humanisten_percentage,party_team_todenhöfer_percentage,party_volt_percentage,party_die_basis_percentage,party_b_percentage,others_percentage,party_bündnis_21_percentage,other_applicant_1_percentage,other_applicant_2_percentage,other_applicant_3_percentage,other_applicant_menschliche_welt_percentage,other_applicant_4_percentage,other_applicant_5_percentage,other_applicant_6_percentage,other_applicant_7_percentage,other_applicant_8_percentage,other_applicant_9_percentage
01100,01,100,1639,1112,527,0,287,2,285,2,38,11,58,104,24,29,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,17.510677242220865,0.6968641114982579,99.30313588850174,13.333333333333334,3.8596491228070176,20.350877192982455,36.49122807017544,8.421052631578947,10.175438596491228,3.1578947368421053,2.456140350877193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3508771929824561,0.0,0.0,0.0,0.3508771929824561,0.3508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7017543859649122,0.0
01101,01,101,971,623,348,0,270,8,265,5,65,22,38,98,18,12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.80638516992791,1.8518518518518516,98.14814814814815,24.528301886792452,8.30188679245283,14.339622641509434,36.9811320754717,6.7924528301886795,4.528301886792453,0.7547169811320755,0.7547169811320755,0.37735849056603776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2641509433962264,0.37735849056603776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01102,01,102,1223,826,397,0,279,1,277,2,48,37,47,74,34,12,7,9,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22.812755519215045,0.7168458781362007,99.2831541218638,17.328519855595665,13.357400722021662,16.967509025270758,26.714801444043324,12.274368231046932,4.332129963898916,2.527075812274368,3.2490974729241873,1.083032490974729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36101083032490977,0.0,0.36101083032490977,0.0,0.7220216606498195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36101083032490977,0.36101083032490977,0.0
01103,01,103,1048,449,599,0,330,10,329,1,55,21,54,118,15,43,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31.48854961832061,0.30303030303030304,99.69696969696969,16.717325227963524,6.382978723404255,16.41337386018237,35.86626139817629,4.5592705167173255,13.069908814589665,0.911854103343465,1.5197568389057752,0.303951367781155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303951367781155,0.0,2.735562310030395,1.21580547112462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01104,01,104,1321,642,679,0,525,17,519,6,73,46,101,194,16,51,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,39.74261922785768,1.1428571428571428,98.85714285714286,14.065510597302506,8.863198458574182,19.460500963391137,37.37957610789981,3.0828516377649327,9.826589595375722,1.348747591522158,0.3853564547206166,0.3853564547206166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1926782273603083,0.0,0.0,0.0,0.0,0.1926782273603083,0.0,2.119460500963391,2.697495183044316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01105,01,105,1045,579,466,0,436,11,427,9,57,68,96,131,25,26,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,41.72248803827751,2.064220183486239,97.93577981651376,13.348946135831383,15.92505854800937,22.482435597189696,30.679156908665107,5.85480093676815,6.0889929742388755,1.1709601873536302,0.936768149882904,0.468384074941452,0.0,0.0,0.0,0.234192037470726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936768149882904,1.873536299765808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01106,01,106,1455,962,493,0,393,11,392,1,90,53,73,110,25,21,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27.010309278350515,0.2544529262086514,99.74554707379136,22.95918367346939,13.520408163265307,18.622448979591837,28.061224489795915,6.377551020408164,5.357142857142857,1.7857142857142856,1.530612244897959,0.25510204081632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7653061224489796,0.7653061224489796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01107,01,107,1086,790,296,0,309,17,308,1,54,37,41,117,31,16,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28.45303867403315,0.3236245954692557,99.67637540453075,17.532467532467532,12.012987012987013,13.311688311688311,37.98701298701299,10.064935064935066,5.194805194805195,1.6233766233766231,0.3246753246753247,0.3246753246753247,0.0,0.0,0.0,0.3246753246753247,0.0,0.0,0.0,0.6493506493506493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246753246753247,0.0
01108,01,108,1075,724,351,0,233,4,228,5,52,32,27,61,28,14,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,21.674418604651162,2.1459227467811157,97.85407725321889,22.807017543859647,14.035087719298245,11.842105263157894,26.75438596491228,12.280701754385964,6.140350877192982,1.7543859649122806,2.1929824561403506,0.43859649122807015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01109,01,109,1090,859,231,0,206,3,203,3,46,26,31,37,39,6,2,9,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89908256880734,1.4563106796116505,98.54368932038835,22.660098522167488,12.807881773399016,15.270935960591133,18.226600985221676,19.21182266009852,2.955665024630542,0.9852216748768473,4.433497536945813,1.477832512315271,0.0,0.0,0.0,0.49261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852216748768473,0.0,0.49261083743842365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
