id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,valid_votes,invalid_votes,party_cdu,party_die_linke,party_spd,party_grüne,party_afd,party_fdp,party_die_partei,party_tierschutzpartei,party_piraten,party_die_grauen,party_freie_wähler,party_verjüngungsforschung,party_ödp,party_du,party_v_partei3,party_dkp,party_mlpd,party_büso,party_sgp,party_wir_bürger,party_heimat,party_die_humanisten,party_team_todenhöfer,party_volt,party_die_basis,party_b,others,party_bündnis_21,other_applicant_1,other_applicant_2,other_applicant_3,other_applicant_menschliche_welt,other_applicant_4,other_applicant_5,other_applicant_6,other_applicant_7,other_applicant_8,other_applicant_9,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_cdu_percentage,party_die_linke_percentage,party_spd_percentage,party_grüne_percentage,party_afd_percentage,party_fdp_percentage,party_die_partei_percentage,party_tierschutzpartei_percentage,party_piraten_percentage,party_die_grauen_percentage,party_freie_wähler_percentage,party_verjüngungsforschung_percentage,party_ödp_percentage,party_du_percentage,party_v_partei3_percentage,party_dkp_percentage,party_mlpd_percentage,party_büso_percentage,party_sgp_percentage,party_wir_bürger_percentage,party_heimat_percentage,party_die_humanisten_percentage,party_team_todenhöfer_percentage,party_volt_percentage,party_die_basis_percentage,party_b_percentage,others_percentage,party_bündnis_21_percentage,other_applicant_1_percentage,other_applicant_2_percentage,other_applicant_3_percentage,other_applicant_menschliche_welt_percentage,other_applicant_4_percentage,other_applicant_5_percentage,other_applicant_6_percentage,other_applicant_7_percentage,other_applicant_8_percentage,other_applicant_9_percentage
01,01,207010,134737,72273,0,140655,66424,138594,2061,19216,19764,30611,42443,7632,8448,2785,2700,809,0,0,0,199,0,0,0,193,0,0,81,0,396,0,1290,1809,0,0,0,0,0,0,0,0,0,0,56,162,0,67.94599294720062,1.4652874053535245,98.53471259464648,13.86495807899332,14.260357591237716,22.08681472502417,30.62398083611123,5.506731893155548,6.095501969782242,2.009466499271253,1.948136282955972,0.5837193529301412,0.0,0.0,0.0,0.14358485937342166,0.0,0.0,0.0,0.1392556676335195,0.0,0.0,0.058444088488679165,0.0,0.2857266548335426,0.0,0.9307762240789644,1.3052513095805014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040405789572420164,0.11688817697735833,0.0
02,02,169836,105576,64260,0,122900,59439,121577,1323,9331,22112,19831,47818,4397,5733,6577,2196,692,0,0,0,176,296,0,0,134,0,0,0,0,329,0,0,1473,168,0,0,0,0,130,0,0,184,0,0,0,0,72.36392755363998,1.0764849471114728,98.92351505288852,7.674971417291099,18.187650624706976,16.311473387236074,39.33145249512655,3.6166380154141,4.715530075589956,5.409740329174103,1.8062626977142056,0.5691866060192307,0.0,0.0,0.0,0.14476422349622048,0.24346710315273448,0.0,0.0,0.1102182156164406,0.0,0.0,0.0,0.0,0.27061039505827583,0.0,0.0,1.2115778477837091,0.13818403151911957,0.0,0.0,0.0,0.0,0.10692811962789014,0.0,0.0,0.15134441547332145,0.0,0.0,0.0,0.0
03,03,282057,193371,88686,0,163969,79468,162189,1780,26814,23960,25972,44703,21625,5120,4693,4831,1011,0,1132,407,371,74,0,0,36,0,0,246,0,119,0,754,167,24,0,0,0,0,38,0,0,92,0,0,0,0,58.13328511612901,1.0855710530649088,98.91442894693509,16.53256386068106,14.772888420299774,16.013416446244815,27.56228844126297,13.33321002040829,3.156810881132506,2.8935377861630567,2.9786237044435815,0.6233468360986257,0.0,0.69795115575039,0.2509418024650254,0.22874547595706243,0.04562578226636825,0.0,0.0,0.02219632650796293,0.0,0.0,0.15167489780441337,0.0,0.07337119040132192,0.0,0.46488972741677914,0.10296629241193916,0.014797551005308622,0.0,0.0,0.0,0.0,0.023429455758405316,0.0,0.0,0.05672394552034972,0.0,0.0,0.0,0.0
04,04,216244,136361,79883,0,144852,72914,143206,1646,35388,8390,36854,35206,8200,11024,1941,2624,504,0,1109,0,195,0,0,0,13,0,0,121,0,253,0,0,1236,0,0,16,122,0,0,0,0,0,0,0,0,10,66.98544237065536,1.136332256372021,98.86366774362799,24.71125511500915,5.858693071519349,25.734955239305616,24.58416546792732,5.726017066324037,7.6980014803849,1.3553901372847506,1.8323254612236919,0.3519405611496725,0.0,0.7744088934821166,0.0,0.13616747901624232,0.0,0.0,0.0,0.009077831934416155,0.0,0.0,0.08449366646648884,0.0,0.1766685753390221,0.0,0.0,0.8630923285337208,0.0,0.0,0.01117271622697373,0.08519196123067468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006982947641858582
05,05,159238,105928,53310,0,111246,48365,108425,2821,26282,5511,35931,11917,11302,9152,2119,3956,0,0,0,0,256,0,0,0,84,0,0,113,0,0,0,0,1443,0,0,184,0,0,0,0,0,0,0,0,0,175,69.86146522814906,2.535821512683602,97.4641784873164,24.239797094765965,5.082776112520175,33.13903620013834,10.991007608946276,10.423795250172931,8.440857735762048,1.954346322342633,3.648605026516025,0.0,0.0,0.0,0.0,0.23610790869264467,0.0,0.0,0.0,0.07747290753977404,0.0,0.0,0.1042195065713627,0.0,0.0,0.0,0.0,1.3308738759511183,0.0,0.0,0.16970255937283837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614018907078626
06,06,217506,119304,98202,0,171803,90966,169542,2261,48530,7196,41371,37751,9277,14929,1995,3787,666,0,1398,398,361,0,0,0,0,0,0,134,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,78.98770608626889,1.3160422111371746,98.68395778886283,28.624175720470447,4.244376024819808,24.40162319661205,22.266459048495356,5.471800497811752,8.80548772575527,1.176699578865414,2.2336648146182068,0.39282301730544644,0.0,0.8245744417312524,0.2347500914227743,0.21292659046136062,0.0,0.0,0.0,0.0,0.0,0.0,0.07903646294133607,0.0,0.0,0.0,0.0,1.0316027886895283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07,07,231477,136349,95128,0,172069,87571,169456,2613,37902,10177,45220,42680,10013,12041,2313,4061,849,0,1567,0,406,0,0,0,0,0,0,118,0,0,0,0,1808,0,0,0,0,0,0,301,0,0,0,0,0,0,74.33524713038445,1.518576849984599,98.4814231500154,22.366868095552828,6.005688792370881,26.685393258426966,25.186479086016426,5.908908507223114,7.105679350391843,1.3649560947974695,2.3964923047870834,0.5010150127466717,0.0,0.924723822113115,0.0,0.23959021810971579,0.0,0.0,0.0,0.0,0.0,0.0,0.06963459541119818,0.0,0.0,0.0,0.0,1.0669436313851384,0.0,0.0,0.0,0.0,0.0,0.0,0.17762723066754793,0.0,0.0,0.0,0.0,0.0,0.0
08,08,196593,126836,69757,0,134004,63148,131078,2926,25173,16943,33880,25790,10047,8240,2600,3841,0,0,0,0,0,0,0,0,171,0,0,136,0,0,2326,0,1236,0,251,0,0,62,0,0,181,0,201,0,0,0,68.16315942073217,2.1835169099429868,97.81648309005702,19.204595736889484,12.925891453943454,25.847205480706144,19.675307831977907,7.6649018141869725,6.286333328247302,1.98355177833046,2.9303163002181907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13045667465173408,0.0,0.0,0.10375501609728559,0.0,0.0,1.7745159370756343,0.0,0.9429499992370955,0.0,0.19148903706190207,0.0,0.0,0.04730008086788019,0.0,0.0,0.1380857199530051,0.0,0.15334381055554708,0.0,0.0,0.0
09,09,206999,127612,79387,0,156625,72603,154175,2450,21016,54548,23684,15806,17978,8950,2518,4565,0,0,2331,0,447,0,0,0,153,0,0,394,0,0,0,0,1785,0,0,0,0,0,0,0,0,0,0,0,0,0,75.66461673727892,1.564245810055866,98.43575418994413,13.631263174963514,35.38057402302579,15.361764228960597,10.251986379114642,11.660775093238202,5.80509161666937,1.6332090157288794,2.9609210312956056,0.0,0.0,1.5119182746878548,0.0,0.28993027403924115,0.0,0.0,0.0,0.09923787903356575,0.0,0.0,0.25555375385114315,0.0,0.0,0.0,0.0,1.1577752553916005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,198002,133735,64267,0,133719,59002,131061,2658,38914,28572,18901,8064,20980,5859,2665,5375,0,0,0,0,0,0,0,0,143,0,0,180,0,0,0,0,1408,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5341663215523,1.9877504318757993,98.0122495681242,29.691517690235848,21.800535628447822,14.4215289063871,6.152860118570742,16.00781315570612,4.470437429899055,2.0334042926576172,4.101143742226903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10910949863040874,0.0,0.0,0.13734062764666835,0.0,0.0,0.0,0.0,1.0743089095917169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
