id,district_id,electoral_district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01100,01,100,3277,617,5,612,544,68,0.18828196521208423,0.008103727714748784,0.9918962722852512,0.8816855753646677,0.11021069692058347
01101,01,101,2440,434,1,433,346,87,0.1778688524590164,0.002304147465437788,0.9976958525345622,0.7972350230414746,0.20046082949308755
01105,01,105,3905,890,1,889,751,138,0.22791293213828426,0.0011235955056179776,0.998876404494382,0.8438202247191011,0.1550561797752809
01107,01,107,3671,913,1,912,828,84,0.2487060746390629,0.001095290251916758,0.9989047097480832,0.9069003285870756,0.09200438116100766
01111,01,111,2427,695,1,694,597,97,0.28636176349402553,0.0014388489208633094,0.9985611510791367,0.8589928057553957,0.13956834532374102
01112,01,112,2124,532,0,532,484,48,0.2504708097928437,0.0,1.0,0.9097744360902256,0.09022556390977443
01115,01,115,3277,804,0,804,692,112,0.24534635337198657,0.0,1.0,0.8606965174129353,0.13930348258706468
01118,01,118,2365,541,0,541,497,44,0.22875264270613108,0.0,1.0,0.9186691312384473,0.08133086876155268
01120,01,120,3546,596,0,596,511,85,0.16807670614777215,0.0,1.0,0.8573825503355704,0.14261744966442952
01121,01,121,2742,584,0,584,521,63,0.21298322392414296,0.0,1.0,0.8921232876712328,0.10787671232876712
01129,01,129,3130,503,3,500,434,66,0.160702875399361,0.005964214711729622,0.9940357852882704,0.8628230616302187,0.1312127236580517
01200,01,200,2065,424,1,423,355,68,0.20532687651331719,0.0023584905660377358,0.9976415094339622,0.8372641509433962,0.16037735849056603
01202,01,202,3526,789,0,789,664,125,0.22376630743051618,0.0,1.0,0.8415716096324461,0.15842839036755388
01205,01,205,2989,628,0,628,561,67,0.2101037136165942,0.0,1.0,0.893312101910828,0.10668789808917198
01207,01,207,3096,617,0,617,534,83,0.19928940568475453,0.0,1.0,0.8654781199351702,0.13452188006482982
01209,01,209,3724,805,1,804,735,69,0.2161654135338346,0.0012422360248447205,0.9987577639751553,0.9130434782608695,0.08571428571428572
01212,01,212,3291,733,2,731,625,106,0.22272865390458826,0.002728512960436562,0.9972714870395635,0.8526603001364257,0.1446111869031378
01214,01,214,2989,698,0,698,600,98,0.2335229173636668,0.0,1.0,0.8595988538681948,0.14040114613180515
01217,01,217,2201,449,0,449,388,61,0.20399818264425262,0.0,1.0,0.8641425389755011,0.1358574610244989
01219,01,219,3639,900,1,899,752,147,0.247320692497939,0.0011111111111111111,0.9988888888888889,0.8355555555555556,0.16333333333333333
01221,01,221,3935,946,0,946,815,131,0.24040660736975858,0.0,1.0,0.861522198731501,0.13847780126849896
01300,01,300,3242,579,1,578,470,108,0.1785934608266502,0.0017271157167530224,0.998272884283247,0.8117443868739206,0.18652849740932642
01302,01,302,2770,634,3,631,530,101,0.22888086642599278,0.00473186119873817,0.9952681388012619,0.8359621451104101,0.15930599369085174
01305,01,305,3247,890,3,887,753,134,0.2740991684631968,0.0033707865168539327,0.996629213483146,0.8460674157303371,0.15056179775280898
01307,01,307,2937,594,1,593,527,66,0.20224719101123595,0.0016835016835016834,0.9983164983164983,0.8872053872053872,0.1111111111111111
01308,01,308,2201,391,0,391,357,34,0.17764652430713312,0.0,1.0,0.9130434782608695,0.08695652173913043
01312,01,312,2443,724,0,724,638,86,0.2963569381907491,0.0,1.0,0.8812154696132597,0.11878453038674033
01315,01,315,2269,552,1,551,455,96,0.24327897752313796,0.0018115942028985507,0.9981884057971014,0.8242753623188406,0.17391304347826086
01317,01,317,3550,927,0,927,752,175,0.2611267605633803,0.0,1.0,0.8112189859762675,0.18878101402373246
01321,01,321,2263,327,1,326,269,57,0.1444984533804684,0.0030581039755351682,0.9969418960244648,0.8226299694189603,0.1743119266055046
01323,01,323,2183,411,1,410,362,48,0.18827301878149336,0.0024330900243309003,0.9975669099756691,0.8807785888077859,0.11678832116788321
01325,01,325,2763,480,0,480,421,59,0.1737242128121607,0.0,1.0,0.8770833333333333,0.12291666666666666
01327,01,327,3074,537,1,536,485,51,0.17469095640858817,0.00186219739292365,0.9981378026070763,0.9031657355679702,0.09497206703910614
01400,01,400,3537,586,1,585,522,63,0.1656771275091886,0.0017064846416382253,0.9982935153583617,0.8907849829351536,0.1075085324232082
01403,01,403,2711,601,1,600,534,66,0.2216894135005533,0.0016638935108153079,0.9983361064891847,0.8885191347753744,0.10981697171381032
01404,01,404,2607,583,3,580,519,61,0.22362869198312235,0.005145797598627788,0.9948542024013722,0.8902229845626072,0.10463121783876501
01405,01,405,1910,386,0,386,355,31,0.20209424083769634,0.0,1.0,0.9196891191709845,0.08031088082901554
01409,01,409,3168,801,2,799,719,80,0.2528409090909091,0.0024968789013732834,0.9975031210986267,0.8976279650436954,0.09987515605493133
01414,01,414,2132,455,1,454,397,57,0.21341463414634146,0.002197802197802198,0.9978021978021978,0.8725274725274725,0.12527472527472527
01415,01,415,2934,584,1,583,521,62,0.19904567143830948,0.0017123287671232876,0.9982876712328768,0.8921232876712328,0.10616438356164383
01416,01,416,3804,837,1,836,745,91,0.2200315457413249,0.0011947431302270011,0.998805256869773,0.8900836320191159,0.1087216248506571
01421,01,421,2993,726,3,723,648,75,0.24256598730370865,0.004132231404958678,0.9958677685950413,0.8925619834710744,0.10330578512396695
01425,01,425,2932,621,3,618,560,58,0.21180081855388813,0.004830917874396135,0.9951690821256038,0.9017713365539453,0.09339774557165861
01427,01,427,3059,686,3,683,644,39,0.2242562929061785,0.004373177842565598,0.9956268221574344,0.9387755102040817,0.056851311953352766
01431,01,431,3259,677,1,676,628,48,0.20773243326173674,0.0014771048744460858,0.9985228951255539,0.9276218611521418,0.07090103397341212
01500,01,500,3118,473,2,471,408,63,0.15169980756895446,0.004228329809725159,0.9957716701902748,0.8625792811839323,0.1331923890063425
01504,01,504,3153,496,0,496,446,50,0.1573104979384713,0.0,1.0,0.8991935483870968,0.10080645161290322
01505,01,505,2722,545,1,544,365,179,0.2002204261572373,0.001834862385321101,0.998165137614679,0.6697247706422018,0.3284403669724771
01508,01,508,2173,411,0,411,325,86,0.18913943856419696,0.0,1.0,0.7907542579075426,0.20924574209245742
01510,01,510,2105,314,0,314,260,54,0.14916864608076008,0.0,1.0,0.8280254777070064,0.17197452229299362
01512,01,512,2188,436,0,436,385,51,0.19926873857404023,0.0,1.0,0.8830275229357798,0.11697247706422019
01513,01,513,2593,397,1,396,357,39,0.153104512148091,0.0025188916876574307,0.9974811083123426,0.8992443324937027,0.0982367758186398
01516,01,516,3317,673,2,671,598,73,0.20289418148929755,0.0029717682020802376,0.9970282317979198,0.888558692421991,0.10846953937592868
01519,01,519,2437,562,2,560,451,109,0.2306114074681986,0.0035587188612099642,0.99644128113879,0.802491103202847,0.19395017793594305
01522,01,522,2371,317,1,316,265,51,0.13369886123998312,0.0031545741324921135,0.9968454258675079,0.8359621451104101,0.1608832807570978
01524,01,524,2289,489,0,489,466,23,0.21363040629095675,0.0,1.0,0.9529652351738241,0.04703476482617587
01528,01,528,3398,803,7,796,744,52,0.2363154796939376,0.008717310087173101,0.9912826899128269,0.9265255292652553,0.0647571606475716
01600,01,600,2304,357,1,356,321,35,0.15494791666666666,0.0028011204481792717,0.9971988795518207,0.8991596638655462,0.09803921568627451
01601,01,601,3300,559,1,558,523,35,0.1693939393939394,0.0017889087656529517,0.998211091234347,0.9355992844364938,0.0626118067978533
01602,01,602,1967,437,2,435,379,56,0.22216573462125064,0.004576659038901602,0.9954233409610984,0.8672768878718535,0.12814645308924486
01603,01,603,2767,369,0,369,340,29,0.13335742681604626,0.0,1.0,0.9214092140921409,0.07859078590785908
01605,01,605,3174,585,1,584,546,38,0.1843100189035917,0.0017094017094017094,0.9982905982905983,0.9333333333333333,0.06495726495726496
01612,01,612,2273,362,2,360,341,19,0.1592608886933568,0.0055248618784530384,0.994475138121547,0.9419889502762431,0.052486187845303865
01613,01,613,3400,571,2,569,527,42,0.16794117647058823,0.0035026269702276708,0.9964973730297724,0.9229422066549913,0.07355516637478109
01617,01,617,2359,335,0,335,307,28,0.1420093259855871,0.0,1.0,0.9164179104477612,0.08358208955223881
01620,01,620,2049,316,1,315,268,47,0.15422157149829185,0.0031645569620253164,0.9968354430379747,0.8481012658227848,0.14873417721518986
01623,01,623,2936,471,1,470,417,53,0.16042234332425068,0.0021231422505307855,0.9978768577494692,0.8853503184713376,0.11252653927813164
01624,01,624,2686,488,1,487,442,45,0.18168279970215934,0.0020491803278688526,0.9979508196721312,0.9057377049180327,0.09221311475409837
01627,01,627,2853,408,2,406,369,37,0.14300736067297581,0.004901960784313725,0.9950980392156863,0.9044117647058824,0.09068627450980392
01632,01,632,2331,509,1,508,456,52,0.21836121836121836,0.0019646365422396855,0.9980353634577603,0.8958742632612967,0.10216110019646366
01634,01,634,2800,572,1,571,510,61,0.2042857142857143,0.0017482517482517483,0.9982517482517482,0.8916083916083916,0.10664335664335664
02101,02,101,1931,325,1,324,278,46,0.16830657690315898,0.003076923076923077,0.9969230769230769,0.8553846153846154,0.14153846153846153
02102,02,102,3273,433,2,431,391,40,0.13229453101130462,0.004618937644341801,0.9953810623556582,0.9030023094688222,0.09237875288683603
02103,02,103,2060,547,0,547,520,27,0.26553398058252425,0.0,1.0,0.9506398537477148,0.04936014625228519
02104,02,104,1992,571,0,571,538,33,0.28664658634538154,0.0,1.0,0.9422066549912435,0.05779334500875657
02105,02,105,2008,596,0,596,558,38,0.2968127490039841,0.0,1.0,0.9362416107382551,0.06375838926174497
02106,02,106,1732,528,1,527,493,34,0.30484988452655887,0.001893939393939394,0.9981060606060606,0.9337121212121212,0.06439393939393939
02107,02,107,1811,483,0,483,454,29,0.26670347874102707,0.0,1.0,0.9399585921325052,0.060041407867494824
02108,02,108,2150,566,3,563,503,60,0.26325581395348835,0.00530035335689046,0.9946996466431095,0.8886925795053003,0.10600706713780919
02109,02,109,1835,612,0,612,580,32,0.3335149863760218,0.0,1.0,0.9477124183006536,0.05228758169934641
02110,02,110,1956,702,0,702,673,29,0.3588957055214724,0.0,1.0,0.9586894586894587,0.04131054131054131
02111,02,111,2095,718,0,718,675,43,0.34272076372315036,0.0,1.0,0.9401114206128134,0.05988857938718663
02112,02,112,1959,638,1,637,599,38,0.32567636549259826,0.001567398119122257,0.9984326018808778,0.9388714733542319,0.05956112852664577
02113,02,113,1873,652,2,650,623,27,0.34810464495461824,0.003067484662576687,0.9969325153374233,0.9555214723926381,0.04141104294478527
02114,02,114,1914,630,0,630,606,24,0.329153605015674,0.0,1.0,0.9619047619047619,0.0380952380952381
02115,02,115,1986,718,1,717,658,59,0.36153071500503525,0.001392757660167131,0.9986072423398329,0.9164345403899722,0.08217270194986072
02116,02,116,1978,640,0,640,609,31,0.3235591506572295,0.0,1.0,0.9515625,0.0484375
02117,02,117,1802,513,1,512,492,20,0.2846836847946726,0.001949317738791423,0.9980506822612085,0.9590643274853801,0.03898635477582846
02118,02,118,1915,566,0,566,555,11,0.29556135770234987,0.0,1.0,0.980565371024735,0.019434628975265017
02119,02,119,1875,649,2,647,619,28,0.34613333333333335,0.0030816640986132513,0.9969183359013868,0.9537750385208013,0.04314329738058552
02120,02,120,1908,628,0,628,598,30,0.32914046121593293,0.0,1.0,0.9522292993630573,0.04777070063694268
02121,02,121,1840,569,0,569,551,18,0.3092391304347826,0.0,1.0,0.968365553602812,0.03163444639718805
02122,02,122,1783,559,0,559,531,28,0.3135165451486259,0.0,1.0,0.9499105545617174,0.05008944543828265
02123,02,123,1972,620,0,620,604,16,0.3144016227180527,0.0,1.0,0.9741935483870968,0.025806451612903226
02124,02,124,2023,713,0,713,682,31,0.3524468610973801,0.0,1.0,0.9565217391304348,0.043478260869565216
02125,02,125,1917,639,2,637,616,21,0.3333333333333333,0.003129890453834116,0.9968701095461658,0.9640062597809077,0.03286384976525822
02126,02,126,1881,578,0,578,566,12,0.3072833599149389,0.0,1.0,0.9792387543252595,0.020761245674740483
02127,02,127,1982,668,0,668,659,9,0.33703329969727547,0.0,1.0,0.9865269461077845,0.01347305389221557
02128,02,128,1752,586,1,585,571,14,0.3344748858447489,0.0017064846416382253,0.9982935153583617,0.9744027303754266,0.023890784982935155
02129,02,129,2019,720,1,719,700,19,0.35661218424962854,0.001388888888888889,0.9986111111111111,0.9722222222222222,0.02638888888888889
02130,02,130,1798,281,0,281,246,35,0.15628476084538376,0.0,1.0,0.8754448398576512,0.12455516014234876
02131,02,131,1741,339,1,338,306,32,0.19471568064330844,0.0029498525073746312,0.9970501474926253,0.9026548672566371,0.0943952802359882
02132,02,132,1975,670,0,670,645,25,0.3392405063291139,0.0,1.0,0.9626865671641791,0.03731343283582089
02133,02,133,1731,452,0,452,423,29,0.2611207394569613,0.0,1.0,0.9358407079646017,0.06415929203539823
02134,02,134,1954,303,1,302,272,30,0.15506653019447286,0.0033003300330033004,0.9966996699669967,0.8976897689768977,0.09900990099009901
02135,02,135,2045,337,0,337,300,37,0.1647921760391198,0.0,1.0,0.8902077151335311,0.10979228486646884
02136,02,136,1797,235,2,233,195,38,0.13077351140790205,0.00851063829787234,0.9914893617021276,0.8297872340425532,0.16170212765957448
02137,02,137,3305,688,0,688,632,56,0.2081694402420575,0.0,1.0,0.9186046511627907,0.08139534883720931
02138,02,138,1906,597,1,596,578,18,0.3132214060860441,0.0016750418760469012,0.998324958123953,0.9681742043551089,0.03015075376884422
02139,02,139,3424,1105,1,1104,1078,26,0.32272196261682246,0.0009049773755656109,0.9990950226244344,0.9755656108597285,0.023529411764705882
02140,02,140,3262,829,0,829,793,36,0.25413856529736356,0.0,1.0,0.9565741857659831,0.04342581423401689
02141,02,141,1705,532,1,531,512,19,0.3120234604105572,0.0018796992481203006,0.9981203007518797,0.9624060150375939,0.03571428571428571
02142,02,142,2141,580,5,575,491,84,0.270901447921532,0.008620689655172414,0.9913793103448276,0.846551724137931,0.14482758620689656
02143,02,143,2042,462,1,461,392,69,0.22624877571008814,0.0021645021645021645,0.9978354978354979,0.8484848484848485,0.14935064935064934
02144,02,144,2161,491,0,491,428,63,0.22720962517353077,0.0,1.0,0.8716904276985743,0.12830957230142567
02145,02,145,2150,564,1,563,495,68,0.26232558139534884,0.0017730496453900709,0.99822695035461,0.8776595744680851,0.12056737588652482
02146,02,146,1826,443,1,442,360,82,0.24260679079956188,0.002257336343115124,0.9977426636568849,0.8126410835214447,0.18510158013544017
02147,02,147,2218,495,2,493,455,38,0.22317403065825067,0.00404040404040404,0.9959595959595959,0.9191919191919192,0.07676767676767676
02148,02,148,2279,662,0,662,583,79,0.2904782799473453,0.0,1.0,0.8806646525679759,0.11933534743202417
