id,district_id,eligible_voters,voters,invalid_votes,valid_votes,vote_yes,vote_no,voter_turnout,invalid_votes_percentage,valid_votes_percentage,vote_yes_percentage,vote_no_percentage
01,01,201410,55738,112,55626,48521,7105,0.2767389901196564,0.0020094011266999176,0.9979905988733001,0.8705192148982741,0.12747138397502603
02,02,171981,63384,73,63311,58970,4341,0.36855234008407906,0.0011517102107787454,0.9988482897892212,0.930360974378392,0.06848731541082922
03,03,284180,90683,146,90537,79940,10597,0.31910408895770287,0.0016100040801473264,0.9983899959198527,0.8815323710066937,0.11685762491315903
04,04,217681,67680,120,67560,54330,13230,0.310913676434783,0.0017730496453900709,0.99822695035461,0.8027482269503546,0.19547872340425532
05,05,164014,38460,77,38383,29115,9268,0.23449217749704293,0.002002080083203328,0.9979979199167966,0.7570202808112324,0.24097763910556422
06,06,218041,71806,170,71636,54277,17359,0.3293233841341766,0.0023674901818789514,0.997632509818121,0.755883909422611,0.24174860039551013
07,07,233340,70972,153,70819,57625,13194,0.30415702408502615,0.0021557797441244435,0.9978442202558756,0.8119399199684383,0.1859043002874373
08,08,203969,57249,151,57098,48243,8855,0.2806750045350029,0.002637600656780031,0.99736239934322,0.8426872085101923,0.15467519083302766
09,09,200279,59319,95,59224,50803,8421,0.2961818263522386,0.0016015104772501222,0.9983984895227499,0.8564372292182943,0.14196126030445558
10,10,202861,47171,96,47075,38899,8176,0.23252867727162935,0.002035148714252401,0.9979648512857476,0.8246380191219181,0.17332683216382946
11,11,204368,51033,104,50929,43203,7726,0.24971130509668832,0.002037897047008798,0.9979621029529911,0.8465698665569338,0.15139223639605745
12,12,181632,48614,111,48503,35662,12841,0.2676510747004933,0.0022832928785946434,0.9977167071214054,0.733574690418398,0.26414201670300735
