id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_tierschutzpartei,party_pro_deutschland,party_die_partei,party_big,party_dkp,party_ödp,party_psg,party_büso,party_b,party_dl,party_alfa,party_tierschutzallianz,party_afd,party_die_einheit,party_die_violetten,party_graue_panther,party_menschliche_welt,party_mieterpartei,party_gesundheitsforschung,individual_applicant_1,individual_applicant_2,individual_applicant_3,individual_applicant_4,individual_applicant_5,individual_applicant_6,individual_applicant_7,individual_applicant_8,individual_applicant_9,individual_applicant_10,individual_applicant_11,individual_applicant_12,individual_applicant_13,individual_applicant_14,individual_applicant_15,individual_applicant_16,individual_applicant_17,individual_applicant_18,party_deutsche_konservative,party_pdw,party_aktive_bürger,party_win,party_wiss,party_ökolinx-arl_b_f-k,party_pne,party_banc,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_piraten_percentage,party_npd_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_pro_deutschland_percentage,party_die_partei_percentage,party_big_percentage,party_dkp_percentage,party_ödp_percentage,party_psg_percentage,party_büso_percentage,party_b_percentage,party_dl_percentage,party_alfa_percentage,party_tierschutzallianz_percentage,party_afd_percentage,party_die_einheit_percentage,party_die_violetten_percentage,party_graue_panther_percentage,party_menschliche_welt_percentage,party_mieterpartei_percentage,party_gesundheitsforschung_percentage,individual_applicant_1_percentage,individual_applicant_2_percentage,individual_applicant_3_percentage,individual_applicant_4_percentage,individual_applicant_5_percentage,individual_applicant_6_percentage,individual_applicant_7_percentage,individual_applicant_8_percentage,individual_applicant_9_percentage,individual_applicant_10_percentage,individual_applicant_11_percentage,individual_applicant_12_percentage,individual_applicant_13_percentage,individual_applicant_14_percentage,individual_applicant_15_percentage,individual_applicant_16_percentage,individual_applicant_17_percentage,individual_applicant_18_percentage,party_deutsche_konservative_percentage,party_pdw_percentage,party_aktive_bürger_percentage,party_win_percentage,party_wiss_percentage,party_ökolinx-arl_b_f-k_percentage,party_pne_percentage,party_banc_percentage
226,01,250740,208679,42061,0,134861,38683,1897,132964,53.7851958203717,1.4066334967114287,98.59336650328856,31650,17948,31809,23778,4585,0,7992,0,557,0,0,0,0,596,0,0,0,0,0,13172,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.80343551638037,13.49839054180079,23.92301675641527,17.883036009747,3.44830179597485,0.0,6.010649499112541,0.0,0.4189103817574682,0.0,0.0,0.0,0.0,0.44824162931319755,0.0,0.0,0.0,0.0,0.0,9.90644084112993,0.0,0.659577028368581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,02,200372,162762,37610,0,124560,34915,1275,123285,62.164374263869206,1.0236030828516378,98.97639691714836,21241,9546,40368,25639,5872,0,3974,0,322,5723,0,554,467,0,0,0,0,0,0,7613,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,1131,0,0,17.22918441010666,7.743034432412703,32.743642778926876,20.79652836922578,4.762947641643347,0.0,3.2234253964391453,0.0,0.26118343675224076,4.642089467494018,0.0,0.4493652918035446,0.3787970961593057,0.0,0.0,0.0,0.0,0.0,0.0,6.175122683213692,0.0,0.532911546416839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14438090603074177,0.0,0.0,0.0,0.9173865433751064,0.0,0.0
822,03,310127,248895,61232,0,207123,57352,2441,204682,66.78651004265994,1.1785267691178671,98.82147323088213,41027,26178,42148,43172,5314,1090,8033,0,977,5351,0,0,0,0,0,0,0,0,0,27187,0,0,0,0,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,0,20.04426378479788,12.789595567758768,20.591942623191095,21.092230875211303,2.5962224328470507,0.5325333932636969,3.924624539529612,0.0,0.47732580295287325,2.6142992544532495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.282555378587272,0.0,0.0,0.0,0.0,1.5326213345579973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217850128492002,0.0
916,04,251212,196265,54947,0,158193,51215,1703,156490,62.9719121698008,1.0765330956489858,98.92346690435102,39317,33841,30982,12312,2541,0,16193,0,391,2453,0,0,0,0,0,0,0,0,0,15226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,3145,0,0,0,0,0,25.12428909195476,21.625023963192536,19.798070164227745,7.867595373506295,1.6237459262572689,0.0,10.34762604639274,0.0,0.24985622084478243,1.567512301105502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.729695188190938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568726436194006,0.0,2.0097130807080323,0.0,0.0,0.0,0.0,0.0
950,05,179192,148377,30811,4,106333,28903,2058,104275,59.34026072592526,1.9354292646685411,98.06457073533146,34652,26843,7915,5883,1831,0,6654,0,773,1600,0,0,0,0,0,0,0,0,0,16668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,33.23135938623831,25.74250779189643,7.590505873891153,5.641812514984417,1.7559338288180293,0.0,6.381203548309758,0.0,0.7413090385998562,1.534404219611604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.984655957803884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3963078398465596,0.0,0.0,0.0
1134,06,236790,173821,62969,0,168547,59002,2156,166391,71.17994847755395,1.2791684218645243,98.72083157813547,37546,47316,32685,10081,4014,0,16474,0,772,0,0,0,0,0,0,0,0,0,0,17503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.564922381619198,28.436634192955147,19.6434903330108,6.058620959066296,2.412390093214176,0.0,9.900775883310995,0.0,0.4639674020830454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51919875474034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,07,260657,203638,57019,0,167000,53193,2300,164700,64.06887211929853,1.377245508982036,98.62275449101796,40654,34776,36124,14359,3350,0,11132,0,602,2787,0,0,0,410,0,0,0,0,0,18224,0,0,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.683667273831208,21.114754098360656,21.933211900425015,8.718275652701882,2.0340012143290833,0.0,6.758955676988464,0.0,0.36551305403764417,1.6921675774134792,0.0,0.0,0.0,0.24893746205221615,0.0,0.0,0.0,0.0,0.0,11.064966605950213,0.0,0.0,1.3855494839101397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,08,232972,189447,43520,5,134358,40486,2149,132209,57.67130814003399,1.5994581640095862,98.40054183599042,40182,21565,19717,16187,2903,940,5600,2884,378,3265,455,0,0,0,0,0,0,0,0,16849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,800,30.39278717787745,16.31129499504572,14.913508157538443,12.243493256888714,2.195765795066902,0.7109954692948286,4.235717689416001,2.1813946100492405,0.28591094403558004,2.469574688561293,0.34415206226505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.744215598030392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36608702887095435,0.0,0.0,0.0,0.6051025270594287
1350,09,212163,172385,39774,4,140554,37281,1982,138572,66.24812054882331,1.4101341833032144,98.58986581669679,34467,17376,12999,31432,2930,1610,4975,0,1139,3739,0,0,0,0,0,0,0,0,0,27905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.872990214473344,12.539329734722743,9.380682966255808,22.68279306064717,2.11442427041538,1.1618508789654476,3.5901913806541,0.0,0.8219553733799037,2.6982362959328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.137545824553303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1820,10,209842,177753,32089,0,123895,30163,1932,121963,59.04204115477359,1.5593849630735703,98.44061503692643,22275,21007,5559,31759,2086,1932,3096,0,1852,0,0,0,0,0,0,0,0,963,0,28263,445,0,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.263735723129145,17.2240761542435,4.5579397030246875,26.039864549084555,1.710354779728278,1.5840869771980026,2.53847478333593,0.0,1.5184933135459113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7895837262120479,0.0,23.173421447488174,0.3648647540647573,0.0,2.235104088945008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2563,11,217755,181276,36479,0,130786,34025,2243,128543,60.06107781681247,1.715015368617436,98.28498463138257,27856,16221,10603,38353,3689,1291,3779,0,2134,0,0,0,0,0,0,0,0,0,0,24617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.670569381452122,12.619123561765324,8.248601635250461,29.83670833884381,2.8698567794434546,1.0043331803365412,2.939872260644298,0.0,1.6601448542511066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.150790008012883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2388,12,198575,160021,38553,1,124794,35953,1949,122845,62.844768978975196,1.5617738032277193,98.43822619677228,26331,43717,12752,6637,1630,551,8113,0,563,1560,0,0,0,0,0,0,0,0,0,17696,0,0,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43432781146974,35.587121982986694,10.380560869388253,5.402743294395377,1.3268753307012902,0.44853270381374905,6.604257397533477,0.0,0.4583011111563352,1.269892954536204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.405144694533762,0.0,0.0,2.682241849485124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
