age,2019_total,2019_male,2019_female,2014_total,2014_male,2014_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,2.4,2.7,2.2,2.1,2.2,2.1,0.3,0.5,0.1
21 bis unter 25,4.5,4.6,4.4,5,5.1,5,-0.5,-0.5,-0.6
25 bis unter 30,6.7,7,6.5,9,9.2,8.8,-2.3,-2.2,-2.3
30 bis unter 35,8.7,9,8.4,8.9,9.4,8.4,-0.2,-0.4,0
35 bis unter 40,8.5,8.9,8.1,7.4,7.9,7,1.1,1,1.1
40 bis unter 45,7.2,7.6,6.8,6.9,7.5,6.3,0.3,0.1,0.5
45 bis unter 50,6.9,7.3,6.6,8.9,9.4,8.4,-2,-2.1,-1.8
50 bis unter 60,18.3,19.3,17.3,17.5,18.3,16.9,0.8,1,0.4
60 bis unter 70,14.6,14.4,14.8,13.4,13.3,13.4,1.2,1.1,1.4
70 und älter,22.1,19.1,24.9,20.8,17.6,23.6,1.3,1.5,1.3
