feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,1541739,1462027,1439590,1435802,1470613,1459675
Wählende,860403,628738,600356,549152,727869,894135
Briefwählende,129416,125153,138942,139818,214816,284751
Wahllokalwählende,730987,503585,461414,409334,513053,609384
