feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Gültige Stimmen,1325147,960156,922021,858350,1159666,1507357
CDU,375889,335948,243083,208395,232274,229352
SPD,372559,256056,176955,161635,278694,211717
DIE LINKE ¹,211055,160580,132381,126442,188344,179943
FDP,42310,23184,49275,74522,31953,71576
GRÜNE,189176,119965,210032,202437,220998,419377
AfD,x,x,x,x,91759,149177
Sonstige,134158,64423,110295,84919,115644,246215
