age,berlin_total,berlin_male,berlin_female,berlin_east_total,berlin_east_male,berlin_east_female,berlin_west_total,berlin_west_male,berlin_west_female
18 bis unter 25,0.97759954,1.3,0.7,1.2,1.3,1.2,0.8,1.3,0.5
25 bis unter 35,0.706296848,0.7,0.7,0.7,0.5,0.9,0.7,0.8,0.6
35 bis unter 45,0.635992967,0.7,0.6,0.7,0.9,0.6,0.5,0.5,0.6
45 bis unter 60,0.683820353,0.6,0.8,0.6,0.5,0.6,0.8,0.6,0.9
60 bis unter 70,1,1.0,1.1,0.9,0.6,1.2,1.1,1.2,1.0
70 und älter,1.3,0.9,1.6,1.5,0.9,2.0,1.2,0.9,1.4
Insgesamt,0.9,0.8,1.0,0.9,0.7,1.1,0.9,0.8,0.9
