feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Gültige Stimmen,x,-27.5,-4,-6.9,35.1,30
CDU,x,-10.6,-27.6,-14.3,11.5,-1.3
SPD,x,-31.3,-30.9,-8.7,72.4,-24
DIE LINKE ¹,x,-23.9,-17.6,-4.5,49,-4.5
FDP,x,-45.2,112.5,51.2,-57.1,124
GRÜNE,x,-36.6,75.1,-3.6,9.2,89.8
AfD,x,x,x,x,x,63
Sonstige,x,-52,71.2,-23,36.2,112.9
