feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Gültige Stimmen,100,72.5,69.6,64.8,87.5,113.8
CDU,100,89.4,64.7,55.4,61.8,61
SPD,100,68.7,47.5,43.4,74.8,56.8
DIE LINKE ¹,100,76.1,62.7,59.9,89.2,85.3
FDP,100,54.8,116.5,176.1,75.5,169.2
GRÜNE,100,63.4,111,107,116.8,221.7
AfD,x,x,x,x,x,x
Sonstige,100,48,82.2,63.3,86.2,294.7
