feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,100,96.8,97.3,98.4,100.3,99.8
Wählende,100,72.2,70.2,64.7,87.7,113.2
Briefwählende,100,99.4,115.4,117.9,184.2,257.6
Wahllokalwählende,100,67.9,63.1,56.4,72.5,90.5
