feature,year_1994,year_1999,year_2004,year_2009,year_2014,year_2019
Wahlberechtigte,2513128,2431784,2444105,2473787,2519758,2508435
Wählende,1343515,970274,942981,869339,1177832,1520678
Briefwählende,182384,181323,210424,215012,335916,469793
Wahllokalwählende,1161131,788951,732557,654327,841916,1050885
